folio,side,par,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10
108,R,5,"8,a,m","8,a,x","8,a,m","cc,c,N,c,9","o,x,N,a,m","2,o,?,M,c,9","o,N,a,n","a,n","8,?,Z","4,o,c,N,c,c,9"
108,R,6,"o,N,c,8,9","8,a,x,N,a,Z","cc,c,c,9","cc,o,x","4,o,N,c,c,8,9","cc,c,9","8,a,n","o,Q","cc,M,a,x","o,M,c,8,9"
108,R,8,"o,N,a,m","o,x,N,c,8,9","4,o,a,x","o,x,N,c,c,9","a,Z","2,a,n","cc,8,9","o,N,c,8,a,Q","4,o,N,c,8,9","o,N,c,8,9"
108,R,9,"a,x,N,a,i","2,a,m","o,N,cc,c,8,9","4,o,N,c,8,9",o,"cc,o,N,c,8,9","cc,c,8,a,x","9,N,c,a,x","o,M,c,8,a,Q","o,N,c,c,8,9"
108,R,11,"cc,c,8,9","cc,c,8,a,x","cc,8,9","4,o,M,a,x","o,N,c,8,9","cc,c,c,8,a,Z","o,N,c,c,8,9","o,N,c,o,x","o,N,c,cc,9","o,P2,cc,8,9"
108,R,13,"cc,c,N,c,o,Q","a,m","o,Z","4,c,N,c,c,9","cc,o,x","N,c,c,c,8","cc,c,9","o,N,c,c,o,Q","4,o,N,c,c,8,9","o,N,c,c,8,9"
108,R,14,"cc,c,o,8,9","o,M,a,Q","cc,a,Z,a,Q","o,N,a,Z","cc,c,9","9,cc,c,9","cc?,c,a,Q","4,c,N,c,9","o,c,8,9","o,x,a,x"
108,R,15,"N,c,a,Q","a,x","cc,c,8","4,o,N,c,c,8,9","o,M,c,c,8,9","x,N,cc,8,9","o,N,c,8,9","c^c,c,o,x","8,a,n","c,N,c,c,9"
108,V,2,"N,c,8,a,Z,Y,9","o,N,c,c,8,9","4,o,N,a,Z","4,o,N,c,c,9","4,o,N,c,c,8,9","x,o,c,M,9","x,cc,c,8,9","x,o,N,c,c,9","cc,c,9","o,c,c,c,8,a,n"
108,V,6,"a,x","o,M,a,m","o,x,o,?,c,c,8,9","cc,c,c,c,8?,a,m","c^c,c,9","N,a,n",x,"c^c,c,c,o","o,x,2,a,Z","8,a,n"
108,V,8,"cc,c,a,Q","4,o,N,c,c,8,9","cc,c,8,c,c,9","cc,c,o,x",o,"cc,c,9","8,a,Z","a,x","M,a,i","cc,o,x"
108,V,15,"o,a,Q","4,o,N,a,x","cc,c,o,N,c,c,8,9","4,o,N,c,c,9","4,o,N,c,c,8,9","N,c,c,a,Z","cc,c,o,x","cc,c,a,x","x,N,a,m","cc,c,c,9"
111,R,14,"cc,c,8,9","o,M?,c,c,8,9","x,N,c,8,a,Z","x,N,c,c,8,9","o,N,c,c,8,9","a,Q","x,N,a,Q","cc,c,8,9","M,c,o,N,a,n","cc,c,8,9"
111,R,16,"x,N,a,x","cc,c,N,c,a,x","4,o,N,a,n","N,c,i,x","cc,c,a,x","cc,c,N,c,9","4,o,N,c,c,o,N,a,n","cc,c,c,N,a,n","cc,c,8,9",x
111,V,2,"x,o,x","4,o,M,c,8,a,x","c^c,c,8,9","4,o,N,c,o,x","4,o,N,c,c,8,9","4,o,N,c,c,9","cc,c,8,9","4,o,N,c,8,9","o,M,c,8,9","a,m"
111,V,4,"a,Q","4,o,N,a,n","4,o,N,c,9","4,o,N,c,c,9","o,N,c,c,9","x,N,c,9","N,c,c,9","cc,c,o,x","N,c,8,9",x
111,V,8,"4,o,N,a,m","cc,9","4,o,N,9","c^c,c,M,c,c,9","cc,a,Z","4,o,N,a,n","c^c,c,9","4,o,N,a,n","M,a,n","cc,c,a,x"
111,V,12,"x,N,9","x,N,a,n","a,Z","o,M,a,n","4,c,M,a,n","4,o,N,c,c,9","cc,c,?,cc,c,9","4,o,N,a,n","c^c,c,c,N,a,n","o,N,c,o,N,a,n"
111,V,14,"cc,a,Z","cc,c,a,x","a,Q?,a,i","cc,a,i","4,o,N,a,i","c^c,a,n,9","o,N,a,n","a,n","4?,o,a,i,2","9,c^c,c,a,x"
111,V,18,"x,cc,a,Z","cc,c,N,c,c,9","cc,c,N,a,n","o,N,c,c,c,8,9","o,x,a,n","M,a,n","cc,c,9","4,o,N,c,c,9","cc,c,c,9","2,a,n"
112,R,2,"8,a,Q","4,o,8,a,n","cc,c,8,9","a,x","8,a,i,Z",9?,"4,o,N,a,Z","4,o,N,cc,9","M,c,c,8,9","cc,c,8,9"
112,R,4,"cc,a,Q","cc,c,8,9","cc,o,8,9","o,N,a,x","a,m","8,a,x,c?,8","cc,c,9","N,c,9","a,x","2,a,m"
112,R,6,"cc,c,8,a,Q","cc,c,8,9","M,o,c,N,c,9","o,N,c,9","cc,c,M,c,9","cc,c,c,M,9","a,m","cc,o,Z","N,c,8,9","9,N,c,8,9"
112,R,8,"c^c,8,a,x","cc,c,8,9","o,N,c,c,o,Z","c^c,c,N,c,c,9","c,P2,c,c,8,9","o,N,cc,c,c,9","2,a,Z,o,x","a,Q","a,x","cc,c,8"
112,R,12,"9,N,9","?,?","o,N,a,?,?,","o,N,c,c,9","4,o,N,c,c,9","o,M,c,c,c,8,9","c^c,N,a,Z","M,c,c,9","N,c,c,c,9",o
112,V,2,"o,Z,o,Z","o,M,cc,c,8,9","c^c,c,c,9","8,a,n","4,o,N,cc,8,9","o,N,cc,c,8,9","cc,c,c,N,a,n","o,M,a,m","o,N,a,m","?,?"
112,V,4,"cc,a,x,o,z","o,x","a,m+","o,Z","4,o,M,c,o","4,o,c,c,c,9","a,x","a,n","2,a,Z,a,n","a,Q"
112,V,6,"cc,o,2","4,o,M,c,a,2,a,Q","4,o,N,c,c,8,9","cc,c,c,o,x","cc,c,?,N,c,9","cc,c,o,N,c,c,9","9,cc,c,8,a,x","4,o,N,c,c,9","c,c,c,8,9","x,o,Z"
112,V,8,"a,Z,a,Z","o,M,c,o,8,9","o,N,c,c,a,Z","a,m","M,a,Z","o,P2,cc,8,9","8,a,x,N,c,8,9","4,o,P2,cc,c,8,9","o,N,c,8,9","c^c,c,c,8,a,Z"
