"url","author1","shorttitle","title","year","category"
"https://www.deutschestextarchiv.de/bakunin_russland_1848","Bakunin, Michail Alexandrowitsch",,"Rußland wie es wirklich ist!","1848","Gebrauchs­literatur"
"https://www.deutschestextarchiv.de/ball_intelligenz_1919","Ball, Hugo","","Zur Kritik der deutschen Intelligenz","1919","Wissenschaft"
"https://www.deutschestextarchiv.de/354513","Bänisch, Christoff","","Einfältige Trauer- und Trost-Gedancken Uber den am 4. August. dieses 1671. Jahres zu Wiesenthal in Schlesien unverhoften/ doch sanft und seeligen Abschied Der weyland Hoch-Wohl-Edelgebohrnen/ Hoch-Ehr- und Tugendreichen Frauen/ Frauen ANNÆ HELENÆ von Festenberg/ Packischen genant/ gebohrnen Schweinitzin","1671","Gebrauchs­literatur"
"https://www.deutschestextarchiv.de/537790","Banner, Christoph","","Trewer Lehrer Dreyfache Ehren-Seule","1652","Gebrauchs­literatur"
"https://www.deutschestextarchiv.de/barclay_argenis_1626","Barclay, John","","Johann Barclaÿens Argenis Deutsch gemacht durch Martin Opitzen","1626","Belletristik"
"https://www.deutschestextarchiv.de/508611","Barthisius, Henoch","","Geistlicher SterbeKittel gleubiger Christenhertzen/ Von dem Königlichen Propheten David in seinem HertzGebetlein des 31. Psalms: In deine Hände befehle ich meinen Geist/ etc. zubereitet/ Vnd in der Leich- vnd GedächtnisPredigt/ beym Christlichen Begräbnis des weiland Ehrnvhesten Wolgelarten vnd Wolbenambten Herrn Peter Fischers","1614","Gebrauchs­literatur"
"https://www.deutschestextarchiv.de/386098","Barthisius, Henoch","","Summa Christiani hominis gloria. Eines Christlichen Menschen höchster Ruhm vnd Ehre/ im Leben vnd Tode. Aus den tröstlichen Worten S. Pauli. Rom. 14","1613","Gebrauchs­literatur"
"https://www.deutschestextarchiv.de/basedow_philanthropinum_1774","Basedow, Johann Bernhard","","Das in Dessau errichtete Philanthropinum","1774","Wissenschaft"
"https://www.deutschestextarchiv.de/basedow_weisheit_1768","Basedow, Johann Bernhard","","Die ganze Natürliche Weisheit im Privatstande der gesitteten Bürger","1768","Gebrauchs­literatur"
"https://www.deutschestextarchiv.de/valentinus_occulta_1603","Basilius, Valentinus","","De occvlta philosophia","1603","Wissenschaft"
"https://www.deutschestextarchiv.de/bastian_voelkergedanke_1881","Bastian, Adolf",,"Der Völkergedanke im Aufbau einer Wissenschaft vom Menschen und seine Begründung auf ethnologische Sammlungen","1881","Wissenschaft"
