folio,par,line,color,rays,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26
103r,17,1,,,"4,o,N,c,c,8,9","4,o,N,c,c,8,9","c^c,o,x","c^c,c,8,a,Z","cc,c,8,9","4,o,M,c,c,8,9","o,M,c,c,8,9","o,x,N,c,o,x","x,M,a,Z,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103r,17,2,,,"cc,o,x,N,c,c,9","4,o,N,c,c,9","cc,c,o,x","cc,o,Z,o,x","c^c,c,8,9","4,o,N,c,c,9","4,o,N,c,c,9","o,x","x,a,m","cc,c,8,a,i",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103r,17,3,,,"2,c^c,c,c,9","o,N,c,c,o",x,"x,cc,c,9","4,o,N,a,x,9","x,cc,c,c,8,9","o,x,o,Z,a,m",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103r,18,1,W,8,"P2,o,x,a,Z,a,Z","x,c^c,c,8,9","4,o,M,o,x,a,m","4,o,N,c,c,9","4,o,N,c,c,9","c^c,N,cc,9","o,P2,cc,c,a,x,o,x","N,cc,9","2,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103r,18,2,,,"o,N,c,c,9","x,Z","a,n",x,"o,x,c^c,c,c,8","4,o,N,c,c,9","c^c,c,o,x","4,o,N,c,c,8,9","c^c,c,8,9","4,o,N,9","x,c,c,c,2","a,n","a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$
103r,18,3,,,"2,c^c,c,c,9",x,"c^c,c,9","4,o,x","cc,c,c,9","cc,c,9","4,o,N,c,c,9","o,N,c,c,9","4,o,N,a,n","cc,c,c,9","4,o,M,a,n",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103r,18,4,,,"2,a,m","cc,c,M,c,c,9","c^c,c,9","cc,c,o,2,a,m",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103r,19,1,W,8,"P2,cc,c,8,a,x","o,M,c,c,9","4,o,x,N,c,c,8,9","4,o,N,c,c,9","4,o,M,9","cc,c,P2,cc,9","4,o,P2,cc,c,9","x,N,a,m","o,M,a,x,2,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103r,19,2,,,"2,c^c,c,9","4,o,N,c,8,9","4,o,N,a,m","c^c,8,9","4,o,N,c,c,9","cc,c,8,9","4,o,N,c,c,9","4,o,N,c,c,9","x,cc,c,8,9","x,o,M,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103r,19,3,,,"8,c^c,c,c,9","4,o,M,c,c,c,9","8,a,Z,cc,c,8,9","4,o,N,c,9","4,o,M,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103v,1,1,R,7,"P2,o,x,8,a,Z","o,x,P1,cc,c,9","4,o,N,9","8,9","4,o,N,c,c,9","4,o,N,c,c,9","8,a,m","o,N,c,c,8,a,N,9","4,o,M,a,i,Z","c^c,c,8,9","8,a,x",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
103v,1,2,,,"8,a,m","c^c,c,9","4,o,N,a,x","c^c,c,8,9","4,o,N,c,c,8,9","4,o,M,c,o,Z","c^c,c,9","4,o,M,9","cc,c,N,c,9","4,o,M,a,n","cc,a,x,Z",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
