folio,par,line,color,rays,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26
105r,1,3,,,"o,x,c^c,c,9","4,o,8,a,Z","o,8,c,c,9","N,cc,c,o,8,9","cc,c,c,o","a,Z","9,M,c,c,9","9,M,cc,9","o,M,c,8,9","4,o,N,c,c,8,9","4,o,N,c,c,9","Z,o,x",$,$,$,$,$,$,$,$,$,$,$,$,$,$
105r,1,4,,,"9,N,a,m","o,x,N,c,c,8,9","o,8,a,m","o,N,a,Z","c,c,c,o,8,a,m","9,M,c,c,9","o,cc,c,8,9","4,o,N,c,c,c,9","o,9","M,c,c,8,9","4,o,M,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105r,1,5,,,"8,a,m","9,M,c,c,8,9","9,M,c,c,c,o,8,9","9,x","cc,c,o,8","o,Z","a,n,2,o,c,N,c,9","o,M,c,c,8,9","o,M,c,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105r,2,1,R,7,"P2,a,Z","a,Z,o,8,9","c^c,c,8,c,c,c,9","4,o,P2,cc,c,8,9","4,o,8,9","4,o,M,c,o,8,9","a,m","9,M,c,o,8,9","4,o,N,o,Z","o,x,P2,c^c,c,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105r,2,2,,,"9,c^c,c,c,o,8,9","9,N,c,c,o,2","o,Z","a,m+","c^c,c,9","4,o,8,a,m+","4,o,N,c,c,8","4,o,N,c,c,9","2,a,m","a,n,2,o,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105r,2,3,,,"c^c,c,c,9","o,x,c,c,c,9","o,Z,a,i,2","4,o,N,a,m","cc,c,9","4,o,N,c,c,8,9","4,o,N,c,8,9","o,M,c,c,8,9","x,cc,c,8,9","o,c,2,a,x",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105r,2,4,,,"o,c,c,o,x,c,c,9","o,N,c,c,o?,8,9","o,N,c,c,9","o,N,cc,c,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105r,3,1,W,7,"P2,8,a,Z",o,"c^c,c,8,9","o,M,cc,c,o,2","o,m+","a,x","M,cc,c,8,a,Z","cc,9","P1,cc,o,2","a,m","P2,o,x,a,m","P2,o,x,N,c,c,c,9","8,9,a,m",$,$,$,$,$,$,$,$,$,$,$,$,$
105r,3,2,,,"9,a,n,Z","9,M,c,c,o,8,9","4,o,c,c,o,8,9","4,o,c,c,8,9","N,cc,c,8,9","4,o,M,cc,8,9","o,M,cc,c,c,9","cc,c,9","M,c,c,o,Z","9,N,c,8,9","Z,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105r,3,3,,,"8,9,M,c,c,9","4,o,N,8,9","cc,c,8,9","cc,c,8,9","8,a,x","4,o,N,c,8","c^c,c,8,9","4,o,M,c,o,8,9","cc,c,c,8,9","o,M",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105r,4,1,R,7,"N,c,2,o,a,Z","4,o,c,c,c,8,9","N,c,c,o,8,9","8,x,x,2,a,i,Z","c^c,c,N,c,9","o,c,N,c,o,8,9","cc,c,o,8,9","o,c,c,9","4,o,N,c,c,o,8,9","c^c,c,o,x,N,c,c,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105r,4,2,,,"c?,N,c^c,c,c,9","o,x",Z,"a,m","o,N,c,c,8,9","o,x,N,c,c,o,8,9","x,N,a,m","o,N,c,c,o,x","o,M,c,c,o,x","c^c,o,8","8,a,m","a,Z,a,x",$,$,$,$,$,$,$,$,$,$,$,$,$,$
105r,4,3,,,"9,M,c,o,8,9","o,M,c,c,c,o,2","a,m","o,8,a,x","o,n,Z","o,M,c,c,8,9","o,2,a,x",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105r,5,1,W,8,"x,M,c,c,8,9","o,N,c,c,8,8,x","c^c,c,o,N,c,8,9","4,o,N,c,8,9","c^c,o,x","N,o,x","a,n,Z,o,x","4,o,P2,cc,c,8,9","8,a,m","o,N,c,8,9","4,?,N,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105r,5,2,,,"c^c,c,o,9","o,x,c,c,8,9","8,a,m","a,x","cc,c,8,9","o,N,c,c,c,9","cc,8,a,m","o,M,c,8,9","cc,c,o,M,9","o,M,c,c,8,9","o,M,c,c,9","cc,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$
105r,5,3,,,"8,2,c,cc,c,9","o,M,c,o,x","8,a,m,8,9","2,a,n?","cc,c,8,9","x,a,m","o,N,c,c,o,8,9","o,N,c,c,9,M,c,c,8,9","o,8,a,m","a,n,Z","a,x",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105r,5,4,,,"2,a,m","cc,c,9","M,c,o,x","9,N,a,i,Z","P2,a,n,Z","o,x,N,a,m","o,x,P1,a,m","o,8,a,Z","a,x","a,i,Z,o,8,9","a,x","M,c,c,8,a,Z","8,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$
105r,5,5,,,"9,cc,c,o","x,N,c,8,9","4,o,c,c,9","4,o,N,c,8,9","4,o,N,c,8,a,x","2,a,m","o,M,o,x","c^c,o,8,9","cc,c,8,9","o,N,a,m","cc,c,N,a,i,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105r,5,6,,,"o,x,N,cc,o,N,c,c,8,9","9,P2,a,i,2","o,P2,a,m","o,P2,a,i,x","o,M,c,o,8,x","c,c,o,x","N,c,c,9",2,"a,m","9,x,N,a,m","a,Q","o,x,2",$,$,$,$,$,$,$,$,$,$,$,$,$,$
105r,5,7,,,"8,cc,c,c,2","o,P2,cc,c,9","a,c,c,o,8,c,c,9","cc,c,P1,cc,c,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105r,6,1,R,7,"P2,cc,c,o,Z","a,n","c,N,c,c,c,9","o,N,c,c,c,9","P2,a,m","a,Z,a,m+","cc,P2,a,n,N,c,9","c^c,c,o","P2,cc,c,c,9","8,a,x","8,a,m",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105r,6,2,,,"8,c,c,c,8,9","cc,c,o,8,N,c,8,9","cc,c,8,9","8,c,c,M,c,8,9","8,a,m,x,2","a,i,Z,o,x,2",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105r,7,1,W,7,"P2,8,a,x","c^c,c,c,9","9,4,o,P2,cc,9","a,i,Z,a,x","c^c,c,c,9","P1,cc,8,9","4,o,P2,cc,8,9","Z,o,n,2,o,N,9","cc,8,c,8,9","4,ô,8,c,c,8,9","4,o,N,c,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105r,7,2,,,"8,a,i,Z","cc,o","a,x",Z,"x,a,x","cc,c,c,2,9","c,P2,c,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105r,7,1,R,7,"P2,cc,2,c,8","c^c,c,c,P1,9","o,P2,cc,c,9","4,o,M,c,c,8,9","4,o,c,c,9","4,o,N,c,c,8,9","x,a,m+","o,8,a,m","a,n,Z","o,P2,a,i,Z","N,c,cc,c,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105r,7,2,,,"o,c,c,2","o,x,N,c,c,8,9","4,o,c,N,c,9","Z,a,m","cc,o,x","o,N,a,i,Z","o,M,c,c,8,9","4,o,P2,cc,c,8,9","o,8,a,m","9,P2,cc,c,8,9","9,N,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105r,7,3,,,"o,x,c,c,8,a,Z","a,n,x,8,9","8,a,Z","o,m","9,M,c,c,9","M,a,i,Z","cc,c,o,8,9","4,o,N,o,x,N,9","cc,c,o,x,N,a,Z,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105r,8,1,W,7,"M,o,8,c,c,9","x,cc,x","c^c,Y","a,Z","a,n,8,9","c,P2,c,c,2,9","o,N,a,x","x,N,c,8,9","x,N,o,Z","cc,c,8,9","4,o,N,a,m","o,Z","P1,cc,o,N?,9",$,$,$,$,$,$,$,$,$,$,$,$,$
105r,8,2,,,"9,cc,c,o","cc,9","x,N,c,o,x","8,a,m","9,N,a,i,2","o,x,N,cc,c,9","8,a,Z","4,o,P2,cc,8,9","8,a,i,Z","o,M,a,Z","a,Z","a,8,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$
105r,8,3,,,"o,N,c,c,o,8,a,i,Z","o,M,c,c,9","x,N,c,c,9","M,c,c,o,x,M,c,c,8,9","o,M","o,N,a,x","o,Z,a,m+","4,o,N,a,m","a,Z","a,i,Z,o,8",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105r,8,4,R,7,"8,o,Z","a,i,x","cc,c,N,9","N,a,Z","o,8,a,m","9,N,x","a,x","o,c,c,2","a,x","o,Z","a,x,N,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105r,10,1,,,"9,P2,cc,c,8,9","o,N,a,n,Z","o,P2,cc,c,c,8,9","4,o,N,a,i,Z","8,a,Z","N,a,x","o,M,a,Z","o,x","4,o,N,a,x","N,o,Z","o,Z","o,x,P2,cc,c,9","o,P1,o,Z,9",$,$,$,$,$,$,$,$,$,$,$,$,$
105r,10,2,,,"8,9,M,c,c,9","o,M,c,8,a,m","o,M,a,Z","o,x","cc,c,8,9","M,c,8","4,o,M,a,Z","o,M,c,o,8,a,Z","o,M,a,Q","9,M,c,8,9","o,M,a,m",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105r,10,3,,,$,"o,M,o,n,Z","cc,c,8,a,m","o,M,a,i,Z","o,M,a,x,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105v,1,1,R,7,"P2,o,x,a,i,Z,9","o,a,i,Z","o,x,P2,cc,c,c,9","9,N,a,m","o,x,P2,cc,c,8,9","o,P2,cc,c,8,a,m","8,a,i,Z,o,8,9","9,P2,cc,c,8,8,9","2,a,i,Z,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105v,1,2,,,"9,c^c,c,o,8","9,N,c,c,c,8,9","N,c,c^c,c,8","4,o,8,a,m","o,M,c,o,8,a,i,Z","o,Z","cc,N,a,Z","o,M,a,m","cc,P2,o,Z,o,Z","o,M,cc,9","o,M,o,Z",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105v,1,3,,,"8,c^c,c,8,9","4,o,c,8,a,m","9,M,a,m","o,N,a,i,Z","4,o,M,a,x","8,o,x","o,N,o,x,8,9","4,o,N,c,8,9","o,P2,cc,c,8","o,M,c,c,8,9","4,o,M,a,m",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105v,1,4,,,"o,x,N,c,c,o,x","o,Z,cc,2,c,9","4,o,N,c,c,8,9","cc,8,o,Z","o,x,a,Z","o,x","N,c,c,o,x","cc,c,8,a,m",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105v,2,1,W,7,"P2,cc,c,8,a,x","4,o,P2,cc,8,9","8,a,m","cc,c,8,9","8,a,m","o,N,a,i,x,8,9","o,P2,cc,c,8,a,m","o,P2,cc,c,o","o,x,N,c,c,8,9","2,a,i,Z,o,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105v,2,2,,,"8,cc,c,o","P1,cc,c,c,o,8,9","c,N,c,c,c,9","8,a,Z","a,m","a,x","8,a,Z","a,Z","8,a,m,8,9","o,M,c,8,9","o,M,c,o,8,9","9,M,a,m",Q,$,$,$,$,$,$,$,$,$,$,$,$,$
105v,2,3,,,"9,cc,c,c,o","x,N,a,m","o,M,a,i,Z","o,x","o,x,N,a,m","o,N,a,i,Z,o,8,9","x,cc,c,8,Z",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105v,3,1,R,7,"P1,o,8,a,x","N,c,8,a,Z","o,x,P2,cc,c,2,8","a,Z,a,m","N,c^c,c,c,o,x","o,P2,cc,c,8,9","P2,cc,c,8,9","o,P2,cc,c,8,8,x","P2,cc,8,a,Z","a,i,Z","o,8,a,Z",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105v,3,2,,,"x,cc,c,c,9","4,o,c,c,c,2",9,"8,a,m","o,N,a,i,Z,9","o,M,cc,c,8,9","o,c,N,c,c,8,9","o,M,cc,c,9","8,a,m","o,Z",Z,"a,i,x","?,o,N,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$
105v,3,3,,,"9,N,c,c,9","N,9","cc,c","o,m+","8,a,x","N,a,m","o,N,a,i,Z,o",x,"N,a,i,Z","cc,c,8,9",2,"o,8,a,Z","a,i,Z","a,x","o,Z,a,x",o,"8,a,Q",$,$,$,$,$,$,$,$,$
105v,3,4,,,"?,o,c,c,2","a,m+","o,x","o,N,a,m","o,2","a,m","cc,c,N,c,o,8,a,i","4,o,M,c,c,8,9","c,N,c,8,8,x","a,n,2","o,P2,a,Z","N,a,n,c^c,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$
105v,3,5,,,"9,c^c,c,c,8,9","a,m","o,N,c,o,x","9,N,c,8,o,Z","a,Z","a,Z","a,x,N,a,i,Z","o,M,o,Z","o,M,a,m","o,M,a,x","M,a,i,Z","a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$
105v,3,6,,,"2,a,m","o,P2,cc,c,8,9","4,o,N,cc,8,9","o,M,a,Z,a,x","N,a,i,Z","o,N,c,c,2","x,N,cc,8,a,x",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105v,4,1,W,7,"P2,cc,c,8,a,m","cc,c,N,c,8,9","4,o,N,a,n,Z","o,x,P2,cc,c,8,9","o,x,o,Z,8","a,m+","N,a,i,x","o,8,a,Z","N,a,Z,8","cc,M,cc,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105v,4,2,,,"9,cc,c,c,9","N,a,Z","9,N,c,c,9","o,M,a,m","o,M,a,x","8,a,Z","cc,8,o,2","N,a,x,cc,c,8,9","o,P2,cc,8,9","8,a,m","o,Z,a,m",Z,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105v,4,3,,,"8,a,m","cc,c,c,9","8,a,x","cc,x","o,N,a,i,Z","a,m","c,P2,c,c,o,Z","a,m","o,N,a,x","cc,o,8,a,m","o,M,a,m","o,P2,a,n,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$
105v,4,4,,,"o,x,Z","a,m","cc,c,9","x,Z,a,m","x,N,x","8,x","x,N,x,o,Z","8,m+","o,x,N,a,m",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105v,5,1,R,7,"P2,cc,o,Z","cc,c,8,a,m","o,N,a,m","cc,o,x,N,a,x","4,o,x,N,a,m","o,x,M,cc,8,9","4,o,P2,cc,2,8","o,P2,a,i,Z","o,Z,a,i,Z","N,a,2,a,i,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105v,5,2,,,"9,cc,c,c,9","a,m","o,M,x,c,c,9","x,N,a,n,Z","cc,c,c,o","M,a,m","o,N,c,c,8","a,i?,x","N,cc,c,9","Z,o,N,a,i,Y","a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105v,6,1,W,7,"P2,o,Z,a,i,Z","cc,o,P2,cc,8,9","cc,c,8,a,n","o,M,a,i,Z","o,M,cc,o,8","a,m","a,x,o,x","cc,c,o","9,P2,cc,c,8,9","N,a,i,Z","o,8,x","x,P2,a,i,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$
105v,6,2,,,"9,N,c,c,o","8,a,n,Q","c^c,c,c,9","4,o,N,a,m","cc,c,o,M,8,a,m","4,o,c,N","cc,9,N,c,o,8,9","4,o,P2,a,m","o,Z","a,n,N,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105v,6,3,,,"8,a,m","cc,c,o,8,a,m","cc,c,8,a,x","a,i,Z","o,N,a,m","cc,c,c,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105v,7,1,R,7,"M,cc,o,x,N,a,m","o,8,a,x","N,x","cc,c,c,2","a,m+","c^c,c,c,2","4,o,P2,8,a,m","cc,o,8,2","a,x,N,c,c,9","P2,a,Z,a,8,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105v,7,2,,,"a,x,cc,c,c,9","o,N,a,m","o,M,a,Z","o,M,o","8,a,m","c,N,c,c,o,x","x,N,o,x","P2,cc,c,8,9,P2,a,m",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105v,8,1,W,8,"N,cc,8,a,x,8,9","a,x,P1,o","x,P1,cc,c,c,8,9","o,P1,a,n,Z","o,P2,cc,c,9","P1,cc,c,8,9","4,o,M,o,Z","o,c,c,c,o,8,Z","4,o,P2,a,Z","a,?,P1,c,c,9","8,x",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105v,8,2,,,"x,N,x","c^c,cc,o,8,c,c,2","o,M,a,m","o,M,a,Z","o,M,a,x","o,Z","a,m","cc,c,8,o,Z","a,x,N,a,m","cc,2","a,x,N,a,m","Z,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$
105v,8,3,,,"c^c,c,o,c","o,Z,Y,o,Z","c,c,2,9","4,o,P2,cc,c,o,a,n","o,Z","N,cc,8,9","8,a,m","o,M,c,c,8,9","N,a,x,N,a,i,Z","o,M,a,n,x,o,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105v,8,4,,,"o,c,o,a,Z","a,Z","a,x","o,8,o,Z","a,n,x","o,M,a,m",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105v,9,1,R,7,"M,8,o,x","M,o,Z,o,a,x,8,a,Z","a,n,Z","o,N,o,N,c,c,8,9","N,a,Z,o,8,9","4,o,c,c,8,9","c^c,o","4,o,P2,cc,c,8,9","8,a,m","o,P2,a,i,Z,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105v,9,2,,,"8,cc,c,8,9","cc,c,c,9","4,o,N,o,Z","o,M,a,m","o,M,a,i,Z","o,M,a,i,Z","o,N,c,c,8,9","M,a,m","a,m",2,"a,m","2,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$
105v,9,3,,,"9,cc,M,a,n,2","a,n,cc,9","8,o,x","a,m","o,M,a,m","a,n,8,9","o,N,cc,8","o,M,a,Z","8,a,m",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105v,10,1,W,7,"P2,o,a,Z","N,cc,o,8,a,m","4,o,a,i,Z","a,Z","a,c,P2,cc,c,9","4,o,c,c,8,c,o,8,9","4,o,N,a,m","4,o,M,c,8,a,i,2","a,P2,o,Z,a,i,Z","a,P2,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105v,10,2,,,"x,c^c,c,o,8,9","M,a,i,2","o,M,c,c,9","o,M,c,c,o",o,x,"o,M,a,m","o,N,c,c,9","4,o,N,a,m","o,Z","a,n,2","a,x","8,a,x",$,$,$,$,$,$,$,$,$,$,$,$,$
105v,10,3,,,"c^c,c,c,o","8,a,m","cc,2,8","4,o,N,c,c,c,9","8,a,i,Z","o,N,a,m","o,M,a,m","cc,c,8,a,m","o,x,N,a,x","x,N,x","8,a,n",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105v,10,4,,,"8,o,c,c","o,N,cc,c,c,o","x,M,a,i,?","o,M,cc,c,c,8,9","cc,o,Z","a,m","o,8,a,m","cc,c,8,9","o,M,a,i,n","a,x","N,a,i,c^c,8",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105v,10,5,,,"x,a,m","c^c,c,o,8","o,N,c,c,o,8,9","4,o,a,m","9,M,a,m","o,M,a,i,Z","cc,8,a,x","8,9","8,a,i,Q","cc,8,a,m","o,c,N,cc,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
105v,10,6,,,"9,c^c,c,9","c,N,c,9","c^c,c,o","4,o,c,c,o","x,N,a,m","cc,2","o,N,o,x","M,cc,8,9","c^c,c,c,c,9","o,N,a,m","a,Z","a,i,x,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$
105v,10,7,,,"cc,c,o,8,9","o,a,n,Z","a,n","o,N,c^c,c,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106r,1,1,R,7,"P2,c^c,8,a,Z","c^c,o,c,P1,9","9,M,c,c,8,9","c^c,o,x","N,o,Z,cc,9","c^c,c,N,9","o,M,cc,c,8,9","o,N,c^c,c,8","4,o,M,c,8,9","4,o,M,c,8","9,N,c,c,o,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106r,1,2,,,"c^c,c,8,cc,9","9,M,cc,c,8,9","cc,c,c,2","o,M,c^c,c,2","o,N,cc,o","cc,8,9","4,o,M,c,c,8,9","cc,c,8","cc,c,8,9","cc,c,8,9","4,o,M,a,Z","Z,o,8",$,$,$,$,$,$,$,$,$,$,$,$,$,$
106r,1,3,,,"8,c^c,c,2","x,cc,c,8,9","x,N,cc,c,8,9","9,M,cc,8,9","o,Z","cc,c,o,2",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106r,2,1,W,8,"P2,cc,c,o,8,a,i,Z","o,N,cc,c,8,9","o,x,N,c,c,c,8,9","o,Z","a,Z,o,8,9","4,o,P2,cc,8,9","c^c,o,x,P1,cc,8,9","cc,c,o,N,9","x,cc,c,8,9","4,o,N,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106r,2,2,,,"9,c^c,c,o,Z","a,m","cc,a,Z","o,N,a,m","4,o,N,c,c,cc,9","cc,c,c,N,c,9","4,o,N,c,o,8,a,Z","4,o,N,c,o","x,N,c,o","x,c,c,o","Z,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106r,2,3,,,"c^c,o,Z","c^c,c,o,Z","o,2,N,cc,2,8","o,M,a,i,2,o,2","4,o,N,c,c,o","Z,a,m","4,o,N,c,c,o,x,cc,c,8,9","o,x,cc,c,8,9","4,o,N,c,o,x","4,o,N,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106r,2,4,W,7,"o,x,cc,c,8","4,o,m","9,cc,c,8,9","4,o,N,a,Q","c^c,c,o,x","4,o,N,o,Z","cc,c,c,c,2",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106r,3,1,R,7,"P2,o,Z,a,Z,cc,9","o,Z,a,Z","o,x,N,a,m","c^c,c,8,9","o,M,c,c,8,9","4,o,M,o,2","4,o,M,c,c,8,o","4,o,M,c,c,8,9","8,a,i,Z","o,N,c,c,8,a,i,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106r,3,2,,,"9,cc,o,Z","cc,o,x","4,o,N,a,n","cc,o,c,P2,c,o,x","x,cc,c,8,9","4,o,cc,c,o","4,o,N,a,Z",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106r,4,1,W,8,"P2,c^c,o,a,i,2","x,N,c,c,c^c,c,8,9","4,o,N,a,n","cc,c,o,x,9","4,o,N,c,8,9","x,cc,c,8,9","4,o,N,c,8,9","o,M,c,8,9","4,o,M,o,N,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106r,4,2,,,"2,a,Z","a,m","cc,c,o,x","a,m","cc,c,o,N,c,8","Z,a,m","cc,o,N,a,Z","cc,o,x,N,9","o,N,c,c,c,2","a,m","o,N,c,c,9","x,cc,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$
106r,4,3,,,"o,N,c,c,9","x,cc,c,c,8,9","o,x,N,c,c,9","4,o,N,c,c,o",8,"cc,c,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106r,5,1,R,7,"P2,cc,c,o,x","c^c,c,o,N,a,m","o,M,c,9","4,o,N,c,c,o,Z","c^c,c,o,a,m","o,M,cc,c,9","P2,cc,c,o","Z,o,Z","a,m","8,a,m,o,P2,a,x",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106r,5,2,,,"9,cc,o,x","o,N,a,m","o,x,cc,c,c,9","8,o,x,cc,c,8,9","o,M,a,i,2","o,M,a,x","cc,c,8,9","o,N,c,o,Z",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106r,6,1,W,7,"P2,o,8,a,Z,o,a,Z","o,M,c,c,o,x,cc,o,Z","c^c,o,x","M,cc,c,8,9","cc,o,M,a,Z","o,P2,cc,c,8,9","o,P2,cc,c,2","a,m",o,"N,cc,8,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106r,6,2,,,"2,a,n","o,n","o,N,a,n","a,m","a,Z,o,x","o,cc,c,c,8,9","x,N,c,c,c,o,8,9","8,a,m","cc,c,8,a,Z","o,N,o,x","o,M,a,Z","cc,8,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$
106r,6,3,,,"9,o,cc,o,Z","x,c^c,c,8,9","4,o,c,N,c,c,9","4,o,N,c,8,a,n","o,Z","a,m","cc,o,8,o,Z",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106r,7,1,R,7,"N,c^c,c,8","8,c^c,c,o,x","4,o,N,c,c,8,9","o,M,o,x","o,N,c,c,8,9","x,N,c,c,8,a,Z","c^c,c,o,P2,cc,9","4,o,P2,cc,9","4,o,M,o,x,cc,9","4,o,M,9","cc,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106r,7,2,,,"o,M,cc,c,8,9","4,o,N,c,c,9","c^c,o,2,a,m","4,o,N,a,m","o,N,a,m","cc,o,x,N,c,c,c,9","x,M,a,x","o,x,cc,c,c,9","4,o,M,cc,o,Z,a,m,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106r,7,3,,,"9,M,a,m","cc,c,c,9","4,o,N,a,m","c^c,a,m","4,o,N,c,c,8,9","2,a,i,x","cc,c,8,9","cc,c,o,8,a,x","4,o,cc,c,8,9","4,o,N,a,m",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106r,7,4,,,"o,x,N,c,c,8,9","4,o,N,cc,c,8,9","cc,c,o","x,N,c,c,8,9","cc,c,a,Z,o,m","o,N,a,n",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106r,8,1,W,8,"M,c^c,o,8,a,i,Z","o,x,N,c,c,c,2","o,8,a,n","4,o,N,c,c,8,9","o,P2,cc,o,Z","a,Z,o,Z","P2,cc,c,c,o,8,9","8,a,n,Z","o,P2,cc,c,8,9","o,P2,cc,o,8,9",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106r,8,2,,,"9,cc,c,8,9","4,c,N,c,c,8,9","8,a,i,Z","a,x","4,o,N,c,8,9","c^c,c,c,P2,c,9","4,o,N,cc,9","o,M,c,8,9","8,a,Z","a,Z,o,Z",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
106r,9,1,R,8,"P2,o,8,c^c,c,8,9","4,o,N,cc,c,8,9","x,N,c,cc,o,Z","o,M,cc,o,8,a,Z","cc,o","x,N,9","cc,c,8,a,Z","o,M,a,m","cc,N,cc,c,8,a,Z,a,Q",$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
