folio,side,par,line,,,,,,,,,,,,,,,,,,
106,V,10,4,"8,o,c,c","o,N,cc,c,c,o","x,M,a,i,?","o?,M,cc,c,c,8,9","cc,o,Z","a,m","o,8,a,m","cc,c,8,9","o,M,a,m","a,x","N,a,i,c^c,8",,,,,,,
106,V,10,5,"x,a,m","c^c,c,o,8","o,N,c,c,o,8,9","4,o,a,m","9,M,a,m","o,M,ai,Z","cc,8,a,x","8,9","8,a,i,Q","cc,8,a,m","o,c,N,cc,9",,,,,,,
106,V,10,6,"9,c^c,c,9","c,N,c,9","c^c,c,o","4,o,c,c,o","x,N,a,m","cc,2","o,N,o,x","M,cc,8,9","c^c,c,c,c,9","o,N,a,m","a,Z","a,i,x,8,9",,,,,,
106,V,10,7,"cc,c,o,8,9","o,a,n,Z","a,i?","o,N,c^c,c,9",,,,,,,,,,,,,,
106,R,6,1,"P2,o,8,a,Z,o,a,Z","o,M,c,c,o","x,cc,o,Z","c^c,o,x","M,cc,c,8,9","cc,o,M,a,Z","o,P2,cc,c,8,9","o,P2,cc,c,2","a,m","o,N,cc,8,a,Q",,,,,,,,
106,R,6,2,"2,a,n","o,n","o,N,a,n","a,m","a,Z,o,x","o,cc,c,c,8,9","x,N,c,c,c,o,8,9","8,a,m","cc,c,8,a,Z","o,N,o,x","o,M,a,Z","cc,8,a,Q",,,,,,
106,R,6,3,"9,o,cc,o,Z","x,c^c,c,8,9","4,o,c,N,c,c,9","4,o,N,c,8,a,n","o,Z","a,m","cc,o,8,a,Z",,,,,,,,,,,
106,R,10,1,"M,cc,c,o,N,9?","x,N,c^c,c,8,9","4,o,N,a,m","x,N,9","Z,a,m","cc,9","Z,o,8,9","cc,x,a,Z","cc,c,o,Z,P1,o,Z","cc,c,o,x,9",,,,,,,,
106,R,10,2,"o,N,a,m","o,x","x,cc,o","Z,cc,c,o?","Z,a,m","4,o,N,a,m","cc,c,9","cc,o,N,a,m","cc,c,a,Z","a,Z","o,x","Z,a,Z,a,x,cc,x",,,,,,
106,R,10,3,"2,a,m","cc,a,x","cc,x","o,x","o,N,a,x","9,N,a,x,a,m","o,N,a,n","4,o,N,a,n","a,Z","o,N,a,m","cc,o,Z","a,m,9",,,,,,
