folio,side,par,line,,,,,,,,,,,,,,,,,,
105,R,4,2,"?,N,c^c,c,c,9","o,x",Z,"a,m","o,N,c,c,8,9","o,x,N,c,co,8,9","x,N,a,m","o,N,c,c,o,x","o,M,c,c,o,x","c^c,o,8","8,a,m","a,Z,a,x",,,,,,
105,R,4,3,"9,M,c,o,8,9","o,M,c,c,c,o,2","a,m","o,8,a,x","o,n,Z","o,M,c,c,8,9","o,Z,a,x",,,,,,,,,,,
105,R,6,1,"P2,cc,c,o,Z","a,n","c,N,c,c,c,9","o,N,c,c,c,9","P2,a,m","o,Z","a,m+","cc,P2,a,n<N,c,9","c^c,c,o","P2,cc,c,c,9","8,a,x","8,a,m","8,a,Q",,,,,
105,R,6,2,"8,c,c,c,8,9","cc,c,o,8,N,c,8,9","cc,c,8,9","8,c,c,M,c,8,9","8,a,m","x,2","a,i,Z,o,x,2",,,,,,,,,,,
105,R,8,1,"P2,cc,2,c,8","c^c,c,c,P1,9","o,P2,cc,c,9","4,o,c,c,9","4,o,N,c,c,8,9","x,a,m+","o,8,a,m","a,n,Z","o,P2,a,i,Z","N,c,cc,c,8,9",,,,,,,,
105,R,8,2,"o,c,c,2","o,x,N,c,c,8,9","4,o,c,N,c,9","Z,a,m","cc,o,x","o,N,a,i,Z","o,M,c,c,8,9","4,o,P2,cc,c,8,9","o,8,a,m","9,P2,cc,c,8,9","9,M?,a,Q",,,,,,,
105,R,8,3,"o,x,c,c,8","a,Z","a,n,x,8,9","8,a,Z","o,m","9,M,c,c,9","M,a,i,Z","cc,c,o,8,9","4,o,N,o,x,N,9","cc,c,o,x,N,a,Z,9",,,,,,,,
105,R,10,1,"9,P2,cc,c,8,9","o,N,a,n,Z","o,P2,cc,c,c,8,9","4,o,N,a,i,Z","8,a,Z","N,a,x","o,M,a,Z","o,x","4,o,N,a,x","N,o,Z","o,Z","o,x,P2,cc,c,8","o,P1,o,Z,9",,,,,
105,R,10,2,"8,9,M,c,c,9","o,M,c,8,a,m","o,M,a,Z","o,x","cc,c,8,9","M,c,8","4,o,M,a,Z","o,M,c,o","8,a,Z","o,M,a,Q","9,M,c,8,9","o,M,a,m",,,,,,
105,V,1,1,"P2,o,x,a,i,Z,9","o,a,i,Z","o,x,P2,cc,c,c,9","9,N,a,m","o,x,P2,cc,c,8,9","o,P2,cc,c,8,a,m","8,a,i,Z,o,8,9","9,P2,cc,c,8,8,9","2,a,i,Z,9",,,,,,,,,
105,V,1,2,"9,c^c,c,o,8","9,N,c,c,c,8,9","N,c,c^c,c,8","4,o,8,a,m","o,M,c,o,8,a,i,Z","o,Z","cc,N,a,Z","o,M,a,m","cc,P2,o,Z","o,Z","o,M,cc,9","o,M,o,Z",,,,,,
105,V,1,3,"8,c^c,c,8,9","4,o,c,8,a,m","9,M,o,m","o,N,a,i,Z","4,o,M,o,x","8,o,x","o,N,o,x,8,9","4,o,N,c,8,9","o,P2,cc,c,8","o,M,c,c,8,9","4,o,M,a,m",,,,,,,
105,V,1,4,"o,x,N,c,c,o,x","o,Z,cc,2,c,9","4,o,N,c,c,8,9","cc,8,o,Z","o,x,a,Z","o,x","N,c,c,o,x","cc,c,8,a,m",,,,,,,,,,
