MARC ID,URL,Publication Date,Title,Image Set ID,Publication Type,Collection,Author,Publisher,Publication Country,Publication Language,Accession Number,Source Library,Full Text - Image,Full Text,USTC Classification,Release Date
99856258,https://search.proquest.com/eebo/docview/2240897276,1477,Dyalogus inter. hugonem. cathonem. et oliuerium. sup libertate ecciastica luculentissime elaboratus feliciter incipit. [...],178410,Book,"Early English Books, 1475-1640 (STC)","Urdemann, Heinrich, d. 1485.",Printer of the 'Darmstadt' Prognostication,Germany,Latin,STC (2nd ed.) / 13922,British Library,Y,N,Religious,10/1/19
99856828,https://search.proquest.com/eebo/docview/2240866663,1477,"Thou fiers god of armes, mars the rede",22462,Book,"Early English Books, 1475-1640 (STC)","Chaucer, Geoffrey, d. 1400.",W. Caxton,England,English,STC (2nd ed.) / 5090,Cambridge University Library,Y,Y,Poetry,10/1/19
953793187,https://search.proquest.com/eebo/docview/2240916951,1477,Thus endeth this book of the dyctes and notable wyse sayenges of the phylosophers late translated and drawen out of Frenshe into our Englisshe tonge by my forsaide Lord Therle of Ryuers and Lord Skales ...,214641,Book,"Early English Books, 1475-1640 (STC)","Anon.|Caxton, William, approximately 1422-1491 or 1492|Mubashshir ibn Fātik, Abū al-Wafāʼ, active 11th century.|Rivers, Anthony Woodville, Earl, 1442?-1483",William Caxton,England,English,"English short title catalogue, / S91716|Incunabula short titl catalog, / id00272000|Pollard, A.W. Short-title catalogue of books printed in England, Scotland, & Ireland and of English books printed abroad, 1475-1640 (2nd ed.), / 6827","The John Rylands Library, University of Manchester",Y,N,"Philosophy and morality|Adages, aphorisms, emblem books, jests, proverbs",10/1/19
99842174_6807,https://search.proquest.com/eebo/docview/2264189011,1477,Here endeth the book named the dictes or sayengis of the philosophhres ...,6807,Book,"Early English Books, 1475-1640 (STC)","Anon.|Mubashshir ibn Fātik, Abū al-Wafāʼ, 11th cent.|Rivers, Anthony Woodville, Earl, 1442?-1483.|Caxton, William, ca. 1422-1491.",Printed by William Caxton,England,English,"Duff 123|GW 8321|Needham, P.  Printer & the pardoner, Cx 26|STC (2nd ed.) / 6826",The Huntington Library,Y,N,"Philosophy and morality|Adages, aphorisms, emblem books, jests, proverbs",10/1/19
99854650_20083,https://search.proquest.com/eebo/docview/2248501533,1477,For as moche as late by the comau[n]dement of the right hye [and] noble princesse my right redoubted lady my lady Margarete by the grace of god Duchesse of Bourgoyne Brabant  [et]c. [...] as to the historie of Iason [...],20083,Book,"Early English Books, 1475-1640 (STC)","Lefèvre, Raoul, fl. 1460.|Caxton, William, ca. 1422-1491.",William Caxton,England,English,"Duff, 245|STC (2nd ed.) / 15383",British Library,Y,N,Literature,10/1/19
20212184,https://search.proquest.com/eebo/docview/2240894410,1478,The morale prouerbes of Cristyne,23807,Book,"Early English Books, 1475-1640 (STC)","Christine, de Pisan, ca. 1364-ca. 1431.|Rivers, Anthony Woodville, Earl of, 1442?-1483.",Enprinted by Caxton,England,English,STC (2nd ed.) / 7273,The Huntington Library,Y,Y,"Literature|Philosophy and morality|Marriage, the debate on women",10/1/19
99842223,https://search.proquest.com/eebo/docview/2248581212,1478,Boecius de consolacione philosophie,6860,Book,"Early English Books, 1475-1640 (STC)","Boethius, d. 524.|Chaucer, Geoffrey, d. 1400.|Surigonus, Stephanus.",Printed by William Caxton,England,English,"Duff 47|GW 4576|Needham, P.  Printer & the pardoner, Cx 31|STC (2nd ed.) / 3199",British Library,Y,Y,Philosophy and morality,10/1/19
99844872,https://search.proquest.com/eebo/docview/2240879890,1478,Incipit exposicio sancti Ieronimi in simbolum apostoloru[m] ad papa[m] laure[n]tiu[m],9720,Book,"Early English Books, 1475-1640 (STC)","Rufinus, of Aquileia, 345-410.|Jerome, Saint, d. 419 or 20",Printed by the printer of the Expositio in Symbolum Apostolorum,England,Latin,"Duff 234|Hain-Copinger 8579|Madan, I, p. 1|STC (2nd ed.) / 21443",Bodleian Library,Y,N,Religious,10/1/19
99852563,https://search.proquest.com/eebo/docview/2240885662,1477-1478,[Explicit the book of curtesye],17889,Book,"Early English Books, 1475-1640 (STC)",Anon.,By William Caxton,England,English,Duff 53|STC (2nd ed.) / 3303,Cambridge University Library,Y,Y,"History and chronicles|Courtesy, civil conversation, etiquette, sumptuary",10/1/19
99855779,https://search.proquest.com/eebo/docview/2240880013,1478,The hors. the shepe [and] the ghoos,21281,Book,"Early English Books, 1475-1640 (STC)","Lydgate, John, 1370?-1451?",By W. Caxton,England,English,STC (2nd ed.) / 17019,Cambridge University Library,Y,Y,Poetry,10/1/19
99842226,https://search.proquest.com/eebo/docview/2248599618,1479,Thus endeth the prologue of this book named. Cordʻyal. Whiche treteth of the four last and final thinges that ben to come  ...,6864,Book,"Early English Books, 1475-1640 (STC)","Anon.|Denis, the Carthusian, 1402-1471|Gerardus, de Vliederhoven, 14th cent|Rivers, Anthony Woodville, Earl, 1442?-1483.|Caxton, William, ca. 1422-1491.",Printed by William Caxton],England,English,"Duff 109|GW 7536|Needham, P.  Printer & the pardoner, Cx 34|STC (2nd ed.) / 5758",British Library,Y,Y,Religious,10/1/19
99846201,https://search.proquest.com/eebo/docview/2240929106,1479,Augustini Dacti scribe sup[er] Tullianis elogancijs [et] verbis exoticis in sua facundissima rethorica incipit p[er]ornate libellus: ...,11152,Book,"Early English Books, 1475-1640 (STC)","Dati, Agostino, 1420-1478.",Schoolmaster-Printer],England,Latin,Duff 111|GW 8065|STC (2nd ed.) / 6289,Cambridge University Library,Y,N,Dialectics and rhetoric|Classical authors,10/1/19
99846681,https://search.proquest.com/eebo/docview/2240906478,1479,Incipit tractatus solemis fratrum Egidij de ordine fratrim Augustinensius de peccato originali,11667,Book,"Early English Books, 1475-1640 (STC)","Giles, of Rome, Archbishop of Bourges, ca. 1243-1316.",[Theodoric Rood],England,English,Duff 3|STC (2nd ed.) / 158,Bodleian Library,Y,N,Religious|Philosophy and morality,10/1/19
