line,0,1,swap,n,n2
85r.3.5,"o,N,a,m","o,N,a,x",m → x,33,3
107v.5.2,"o,N,a,m","o,N,a,x",m → x,33,3
108r.4.2,"o,N,a,m","o,N,a,x",m → x,33,3
76r.1.27,"cc,c,M,c,9","cc,c,N,c,9",M → N,33,2
77r.4.2,"4,o,M,c,c,8,9","4,o,N,c,c,8,9",M → N,33,2
78r.3.12,"4,o,M,a,m","4,o,N,a,m",M → N,33,2
82r.4.8,"4,o,M,c,c,8,9","4,o,N,c,c,8,9",M → N,33,2
85v.4.6,"4,o,M,a,m","4,o,N,a,m",M → N,33,2
104v.12.2,"4,o,M,a,n","4,o,N,a,n",M → N,33,2
115v.5.3,"4,o,M,a,n","4,o,N,a,n",M → N,33,2
116r.8.5,"cc,c,M,c,9","cc,c,N,c,9",M → N,33,2
106v.8.3,"cc,8,a,m","cc,8,a,x",m → x,33,2
114v.5.3,"cc,8,a,m","cc,8,a,x",m → x,33,2
16r.2.1,"M,9","N,9",M → N,33,1
20r.3.1,"4,o,M,cc,c,9","4,o,N,cc,c,9",M → N,33,1
45r.2.2,"o,M,cc,a,Z","o,N,cc,a,Z",M → N,33,1
50v.1.9,"o,M,a,m","o,N,a,m",M → N,33,1
55r.2.1,"4,o,M,cc,8,9","4,o,N,cc,8,9",M → N,33,1
58v.4.2,"o,M,a,n","o,N,a,n",M → N,33,1
77v.3.1,"4,o,M,c,8,9","4,o,N,c,8,9",M → N,33,1
79r.5.2,"o,M,9","o,N,9",M → N,33,1
85r.1.5,"M,cc,c,8,9","N,cc,c,8,9",M → N,33,1
104v.3.4,"4,o,M,o,x","4,o,N,o,x",M → N,33,1
108r.2.1,"o,M,c,c,9","o,N,c,c,9",M → N,33,1
113r.6.2,"cc,o,M,a,Z","cc,o,N,a,Z",M → N,33,1
113r.12.2,"o,M,a,Z","o,N,a,Z",M → N,33,1
115r.13.2,"4,o,M,cc,c,8,9","4,o,N,cc,c,8,9",M → N,33,1
7r.2.4,"cc,o,m","cc,o,x",m → x,33,1
23v.2.6,"o,m","o,x",m → x,33,1
107r.8.2,"9,N,a,m","9,N,a,x",m → x,33,1
39r.3.1,"a,Z","a,m",Z → m,27,22
39r.3.2,"a,Z","a,m",Z → m,27,22
43v.3.3,"a,Z","a,m",Z → m,27,22
55r.1.2,"a,Z","a,m",Z → m,27,22
76r.1.11,"a,Z","a,m",Z → m,27,22
85r.1.2,"a,Z","a,m",Z → m,27,22
85r.3.4,"a,Z","a,m",Z → m,27,22
86r.3.3,"a,Z","a,m",Z → m,27,22
86r.4.3,"a,Z","a,m",Z → m,27,22
86r.4.4,"a,Z","a,m",Z → m,27,22
104r.1.2,"a,Z","a,m",Z → m,27,22
104r.12.1,"a,Z","a,m",Z → m,27,22
106r.14.3,"a,Z","a,m",Z → m,27,22
108r.4.1,"a,Z","a,m",Z → m,27,22
108v.4.1,"a,Z","a,m",Z → m,27,22
112v.1.3,"a,Z","a,m",Z → m,27,22
113r.16.2,"a,Z","a,m",Z → m,27,22
113v.12.3,"a,Z","a,m",Z → m,27,22
113v.12.4,"a,Z","a,m",Z → m,27,22
114v.9.1,"a,Z","a,m",Z → m,27,22
114v.9.3,"a,Z","a,m",Z → m,27,22
115r.7.3,"a,Z","a,m",Z → m,27,22
8v.1.5,"8,a,Z","8,a,m",Z → m,27,2
22r.2.2,"8,a,Z","8,a,m",Z → m,27,2
8r.3.4,"cc,a,Z","cc,a,m",Z → m,27,1
81r.2.14,"o,x,N,a,Z","o,x,N,a,m",Z → m,27,1
86r.1.6,"9,M,a,Z","9,M,a,m",Z → m,27,1
3v.1.3,"cc,o,x","c^c,o,x",cc → c^c,22,5
21r.3.4,"cc,o,x","c^c,o,x",cc → c^c,22,5
42r.2.5,"cc,o,x","c^c,o,x",cc → c^c,22,5
42r.3.5,"cc,o,x","c^c,o,x",cc → c^c,22,5
42r.3.6,"cc,o,x","c^c,o,x",cc → c^c,22,5
4v.1.3,"cc,a,m","c^c,a,m",cc → c^c,22,3
8v.1.3,"cc,a,m","c^c,a,m",cc → c^c,22,3
29v.2.2,"cc,a,m","c^c,a,m",cc → c^c,22,3
76v.6.2,"cc,c,8,9","c^c,c,8,9",cc → c^c,22,3
79r.7.1,"cc,c,8,9","c^c,c,8,9",cc → c^c,22,3
104v.2.1,"cc,c,8,9","c^c,c,8,9",cc → c^c,22,3
11r.2.1,"cc,o,Z","c^c,o,Z",cc → c^c,22,2
17r.2.2,"cc,o,Z","c^c,o,Z",cc → c^c,22,2
37r.3.3,"cc,9","c^c,9",cc → c^c,22,2
90va.1.3,"cc,9","c^c,9",cc → c^c,22,2
3r.1.7,"cc,o,Q","c^c,o,Q",cc → c^c,22,1
25r.1.3,"4,o,M,cc,9","4,o,M,c^c,9",cc → c^c,22,1
27v.1.2,"8,cc,9","8,c^c,9",cc → c^c,22,1
28v.2.2,"4,o,M,cc,c,9","4,o,M,c^c,c,9",cc → c^c,22,1
33v.2.1,"cc,8,9","c^c,8,9",cc → c^c,22,1
76r.1.15,"cc,c,N,c,9","c^c,c,N,c,9",cc → c^c,22,1
115v.1.3,"4,o,N,cc,c,8,9","4,o,N,c^c,c,8,9",cc → c^c,22,1
46v.1.3,"c^c,c,8,9","cc,c,8,9",c^c → cc,18,8
66r.5.3,"c^c,c,8,9","cc,c,8,9",c^c → cc,18,8
76v.1.2,"c^c,c,8,9","cc,c,8,9",c^c → cc,18,8
76v.3.8,"c^c,c,8,9","cc,c,8,9",c^c → cc,18,8
77r.4.10,"c^c,c,8,9","cc,c,8,9",c^c → cc,18,8
77v.3.7,"c^c,c,8,9","cc,c,8,9",c^c → cc,18,8
77v.3.8,"c^c,c,8,9","cc,c,8,9",c^c → cc,18,8
104r.2.3,"c^c,c,8,9","cc,c,8,9",c^c → cc,18,8
21r.3.4,"c^c,o,x","cc,o,x",c^c → cc,18,3
42r.3.5,"c^c,o,x","cc,o,x",c^c → cc,18,3
42r.3.6,"c^c,o,x","cc,o,x",c^c → cc,18,3
10r.2.4,"c^c,o,Z","cc,o,Z",c^c → cc,18,2
29r.2.4,"c^c,o,Z","cc,o,Z",c^c → cc,18,2
4v.2.6,"c^c,a,Z","cc,a,Z",c^c → cc,18,1
39v.2.2,"c^c,c,N","cc,c,N",c^c → cc,18,1
66r.14.1,"x,c^c,c,8,9","x,cc,c,8,9",c^c → cc,18,1
84r.3.2,"c^c,c,N,c,9","cc,c,N,c,9",c^c → cc,18,1
111r.7.2,"c^c,c,9","cc,c,9",c^c → cc,18,1
75v.4.6,"8,a,x","8,a,m",x → m,17,5
77v.4.8,"8,a,x","8,a,m",x → m,17,5
77v.5.2,"8,a,x","8,a,m",x → m,17,5
103v.1.1,"8,a,x","8,a,m",x → m,17,5
108r.5.3,"8,a,x","8,a,m",x → m,17,5
76r.1.10,"o,N,a,x","o,N,a,m",x → m,17,3
99v.7.2,"o,N,a,x","o,N,a,m",x → m,17,3
113v.5.2,"o,N,a,x","o,N,a,m",x → m,17,3
15v.1.8,"o,x","o,m",x → m,17,2
58v.1.4,"4,o,N,a,x","4,o,N,a,m",x → m,17,2
77v.5.4,"4,o,N,a,x","4,o,N,a,m",x → m,17,2
107r.11.2,"o,x","o,m",x → m,17,2
108r.1.2,"o,M,a,x","o,M,a,m",x → m,17,2
114v.10.2,"o,M,a,x","o,M,a,m",x → m,17,2
20v.1.2,"cc,o,x","cc,o,m",x → m,17,1
58r.1.13,"cc,a,x","cc,a,m",x → m,17,1
86r.2.3,"9,N,a,x","9,N,a,m",x → m,17,1
10v.2.4,"8,a,m","8,a,n",m → n,16,10
14r.1.1,"8,a,m","8,a,n",m → n,16,10
30v.1.4,"8,a,m","8,a,n",m → n,16,10
35r.1.5,"8,a,m","8,a,n",m → n,16,10
35v.1.17,"8,a,m","8,a,n",m → n,16,10
37v.2.2,"8,a,m","8,a,n",m → n,16,10
38v.1.7,"8,a,m","8,a,n",m → n,16,10
42r.2.6,"8,a,m","8,a,n",m → n,16,10
49v.1.12,"8,a,m","8,a,n",m → n,16,10
84r.7.9,"8,a,m","8,a,n",m → n,16,10
10r.2.3,"8,a,m","8,a,Z",m → Z,16,6
20r.3.4,"8,a,m","8,a,Z",m → Z,16,6
39r.3.6,"8,a,m","8,a,Z",m → Z,16,6
89vb.2.7,"8,a,m","8,a,Z",m → Z,16,6
93v.1.2,"8,a,m","8,a,Z",m → Z,16,6
114r.3.2,"8,a,m","8,a,Z",m → Z,16,6
66v.3.3,"o,M,a,m","o,M,a,Z",m → Z,16,3
105v.8.2,"o,M,a,m","o,M,a,Z",m → Z,16,3
107r.10.1,"o,M,a,m","o,M,a,Z",m → Z,16,3
78v.2.12,"o,M,a,m","o,M,a,n",m → n,16,3
104r.13.3,"o,M,a,m","o,M,a,n",m → n,16,3
106v.10.2,"o,M,a,m","o,M,a,n",m → n,16,3
76r.1.11,"a,m","a,Z",m → Z,16,2
85v.3.9,"4,o,N,a,m","4,o,N,a,Z",m → Z,16,2
85v.4.5,"a,m","a,Z",m → Z,16,2
107r.3.1,"4,o,N,a,m","4,o,N,a,Z",m → Z,16,2
40r.1.4,"o,N,a,m","o,N,a,Z",m → Z,16,1
104r.1.2,"cc,c,o,8,a,m","cc,c,o,8,a,Z",m → Z,16,1
107r.10.3,"x,N,a,m","x,N,a,Z",m → Z,16,1
78v.2.8,"o,x,N,a,m","o,x,N,a,n",m → n,16,1
82v.6.2,"o,N,a,m","o,N,a,n",m → n,16,1
82v.6.7,"4,o,N,a,m","4,o,N,a,n",m → n,16,1
23v.2.4,"a,Z","o,Z",a → o,15,7
40r.1.5,"a,Z","o,Z",a → o,15,7
76r.1.4,"a,Z","o,Z",a → o,15,7
78v.2.12,"a,Z","o,Z",a → o,15,7
81r.2.15,"a,Z","o,Z",a → o,15,7
86r.5.3,"a,Z","o,Z",a → o,15,7
108v.8.1,"a,Z","o,Z",a → o,15,7
1v.1.3,"8,a,x","8,o,x",a → o,15,3
