line,0,1,add,n
111r.7.2,"M,c,c,9","o,M,c,c,9",o,60
111r.15.2,"o,a,n","a,n",o,60
111v.1.10,x,"o,x",o,60
112r.5.1,"o,M,9,cc,c,9","cc,c,c,M,c,c,9",o,60
112v.6.4,"cc,c,o,N,c,c,9","cc,c,c,N,c,9",o,60
112v.12.3,"o,P2,a,x,cc,8,9","a,x,P2,cc,8,9",o,60
113v.10.2,"o,N,cc,c,9","cc,c,N,9",o,60
114r.2.3,"9,N,c,c,8,9","o,N,c,c,c,8,9",o,60
114r.13.1,"cc,c,o,8,9","9,cc,c,c,8,9",o,60
114v.11.2,"o,a,m","a,m",o,60
115r.9.4,"cc,o,N,c,c,c,9","cc,c,N,c,c,9",o,60
116r.7.7,"x,N,c,c,9","o,x,N,c,c,9",o,60
1r.4.6,"cc,o,M,9","cc,o,M,c,9",c,51
4v.1.2,"cc,c,9","cc,9",c,51
5v.1.5,"cc,c,o,M,o,x","o,M,cc,o,x",c,51
7v.2.1,"c^c,c,o,8,a,m","c^c,o,8,a,m",c,51
7v.2.2,"cc,o,Z","cc,c,o,Z",c,51
8v.2.5,"cc,a,Z","cc,c,a,Z",c,51
13v.1.4,"4,o,c,N,9","4,o,N,9",c,51
16r.3.3,"c^c,c,M,c,9","c^c,M,c^c,9",c,51
16v.2.4,"9,N,cc,9","cc,c,N,c,9",c,51
17v.1.17,"c,M,c,o,Z","o,M,o,Z",c,51
20v.1.2,"cc,c,o,x","cc,o,x",c,51
23v.2.5,"c,M,c,o,x","o,M,o,x",c,51
24v.2.8,"cc,c,o,x","cc,o,x",c,51
26v.1.1,"9,P2,cc,c,8,9","9,P2,cc,8,9",c,51
27v.1.3,"N,cc,c,9","N,cc,9",c,51
28r.1.4,"c,M,c,o,x","o,M,o,x",c,51
28v.2.1,"cc,c,o,Z","cc,o,Z",c,51
29r.2.3,"cc,o,c,M,9","cc,o,M,9",c,51
33v.1.3,"8,9,N,9","c,N,c,8,9",c,51
34v.1.5,"cc,c,N,a,x,9","cc,a,x,N,9",c,51
37r.3.1,"c^c,o,Z","c^c,c,o,Z",c,51
42r.2.4,"o,M,o,x","c,M,c,o,x",c,51
43r.3.3,"4,o,N,c,c,8,9","4,o,N,o,8,9",c,51
44r.1.4,"9,N,cc,c,9","9,N,cc,9",c,51
46r.3.1,"P1,cc,c,8,9","8,9,P1,cc,8,9",c,51
49r.3.3,"c^c,o,Z","c^c,c,o,Z",c,51
54r.2.5,"c,N,c,o,x","o,N,o,x",c,51
58r.3.4,"cc,a,x","cc,c,a,x",c,51
66r.2.2,"cc,8,9","cc,c,8,9",c,51
66r.4.2,"9,N,o,x","9,N,c,o,x",c,51
66r.10.1,"c^c,c,o,x","c^c,o,x",c,51
76v.6.1,"4,o,N,c,9","4,o,N,9",c,51
78r.3.6,"N,c,c,8,9","8,9,N,9",c,51
80r.3.1,"4,o,M,c,9","4,o,M,9",c,51
83r.4.12,"c^c,9","c^c,c,9",c,51
83v.3.4,"4,o,x,cc,c,8,9","4,o,x,cc,8,9",c,51
84v.3.14,"cc,8,9","8,cc,c,9",c,51
88r.6.3,"cc,c,o,x","cc,o,x",c,51
89rb.4.1,"c^c,c,o,Z","c^c,o,Z",c,51
89rb.4.2,"cc,o,x","cc,c,o,x",c,51
90vb.2.2,"cc,c,o,x","cc,o,x",c,51
100r.6.6,"cc,o,x","cc,c,o,x",c,51
101r.2.3,"o,N,o,x","o,N,c,o,x",c,51
102vb.3.8,"cc,o,Z","cc,c,o,Z",c,51
104r.10.2,"cc,o,x","cc,c,o,x",c,51
104v.2.1,"c^c,o,x","c^c,c,o,x",c,51
106r.2.3,"c^c,o,Z","c^c,c,o,Z",c,51
115r.12.2,"o,x,cc,9","o,x,cc,c,9",c,51
115v.8.5,"cc,c,8,9","cc,8,9",c,51
116r.7.10,"x,cc,c,9","x,cc,9",c,51
116r.7.12,"c^c,c,N,a,n","c^c,N,a,n",c,51
2v.1.2,"c^c,o","c^c,o,x",x,48
3r.3.2,"2,o,x,c,c,Q","2,o,c,o,Q",x,48
23v.2.2,"c^c,o","c^c,o,x",x,48
35v.1.7,"c^c,o,x","c^c,o",x,48
40v.2.4,"x,a,Z","a,Z",x,48
44v.3.5,"c,M,c,o","c,M,c,o,x",x,48
46v.1.7,"x,cc,c,8,9","cc,c,8,9",x,48
49v.2.2,"8,cc,o","8,cc,o,x",x,48
56v.2.7,"c^c,o","c^c,o,x",x,48
75r.1.20,"cc,c,9","x,cc,c,9",x,48
76r.1.14,"c^c,c,8,9","x,c^c,c,8,9",x,48
76r.1.15,"cc,c,8,9","x,cc,c,8,9",x,48
76r.1.29,"x,cc,c,9","cc,c,9",x,48
76r.3.3,"x,cc,c,8,9","cc,c,8,9",x,48
76v.3.7,"cc,c,8,9","x,cc,c,8,9",x,48
77r.2.15,"cc,c,8,9","x,cc,c,8,9",x,48
77v.5.13,"cc,c,8,9","x,cc,c,8,9",x,48
79v.3.1,"4,o,x,M,c,8,9","4,o,M,c,8,9",x,48
79v.5.5,"o,x",o,x,48
80v.4.4,"c^c,c,8,9","x,c^c,c,8,9",x,48
81r.1.1,"o,P2,cc,c,8,9","o,x,P2,cc,c,8,9",x,48
81r.2.2,"o,x",o,x,48
81r.2.7,"cc,c,9","x,cc,c,9",x,48
81v.2.7,"c^c,c,8,9","x,c^c,c,8,9",x,48
82v.6.1,"4,o,N,c,8,9","4,o,x,N,c,8,9",x,48
82v.6.2,"o,N,a,n","o,x,N,a,n",x,48
83v.3.8,"4,o,N,c,c,8,9","4,o,x,N,c,c,8,9",x,48
84v.2.5,"o,x,N,c,8,9","o,N,c,8,9",x,48
89rb.6.1,"c^c,o,8,9","c^c,o,x,8,9",x,48
89rb.6.4,"4,o","4,o,x",x,48
95ra.2.3,"cc,c,8,9","x,cc,c,8,9",x,48
95ra.2.3,"x,cc,c,8,9","cc,c,8,9",x,48
99v.3.3,"4,o,N,c,o","4,o,N,c,o,x",x,48
101r.2.4,"c^c,o","c^c,o,x",x,48
103v.6.2,"x,cc,c,8,9","cc,c,8,9",x,48
103v.13.3,"c^c,c,9","x,c^c,c,9",x,48
103v.14.3,"cc,c,c,9","x,cc,c,c,9",x,48
107r.2.1,"o,N,cc,c,8,9","o,x,N,cc,c,8,9",x,48
108r.14.2,o,"o,x",x,48
108v.16.2,"o,x,N,c,c,9","o,N,c,c,9",x,48
111r.5.2,"cc,c,8,9","x,cc,c,8,9",x,48
111v.4.3,"a,x,Z","a,Z",x,48
112r.9.1,"o,x,N,c,8,9","o,N,c,8,9",x,48
112v.1.6,"o,x",o,x,48
113r.8.2,"cc,c,N,c,c,9","x,N,cc,c,9",x,48
114r.8.3,"o,x,N,a,m","o,N,a,m",x,48
116r.1.2,"x,a,Z","a,Z",x,48
116r.2.3,"x,cc,c,8,9","cc,c,8,9",x,48
5r.1.7,"c,c,9","N,c,c,9",N,46
8r.3.1,"c^c,c,9","N,c^c,c,9",N,46
9v.2.6,"N,cc,o,x","cc,o,x",N,46
11r.1.4,"cc,9","N,cc,9",N,46
14r.2.6,"cc,9","N,cc,9",N,46
16v.1.2,9,"N,9",N,46
25r.1.2,"cc,9","N,cc,9",N,46
26v.1.6,"cc,c,9","cc,c,N,9",N,46
27r.2.1,"N,cc,c,9","cc,c,9",N,46
39v.1.5,"N,o,Z","o,Z",N,46
42v.2.6,"cc,9","N,cc,9",N,46
43r.1.4,"N,a,Z","a,Z",N,46
43r.1.6,"N,cc,c,8,9","cc,c,8,9",N,46
