folio,par,line,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26
,,5,"c^c,o","c^c,o,c,N,c,o","c,N,c,9","M,cc,o,Z","cc,o,8,a,m","cc,o,Q",,,,,,,,,,,,,,,,,,,,
,,6,"o,c^c","cc,o,8,a,i,Z","9,M,cc,9","M,cc,o,Z","N,cc,a,Q",2,,,,,,,,,,,,,,,,,,,,
,,7,"c^c,a,Z","c^c,N,a,m","4,o,N,cc,9","9,M,9","c,M,c,a,x","cc,N,9",,,,,,,,,,,,,,,,,,,,
,,8,"8,a,n","c^c,c,a,Q",9,"N,c,a,Q",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4r,1,1,"N,o,8,a,x,cc,9","cc,P2,a,8,9","c^c,c,o,x","o,x","c^c,c,c,9","4,o,M,c,9","8,o,m","cc,o,Z","9,M,o,9",,,,,,,,,,,,,,,,,
,,2,"8,c^c,o,Z","c^c,o,x","c^c,o,x","c,M,c,o,x","c^c,M,cc,9","cc,a,m","?,2","cc,o,Z,a,m","cc,o,Q",,,,,,,,,,,,,,,,,
,,3,"o,M,cc,o,x","cc,o,x","cc,9","cc,a,m","4,o,M,a,m","8,a,m","c^c,a,n",,,,,,,,,,,,,,,,,,,
,,4,"4,o,M,cc,o,x","cc,9","9,M,9","8,a,m","o,N,a,m","c,M,c,9",,,,,,,,,,,,,,,,,,,,
,2,1,"P2,9,8,a,m","4,o,M,cc,9","8,9,M,9,8,9",,,,,,,,,,,,,,,,,,,,,,,
,,2,"cc,o,Z","c^c,9,M,cc,9","8,9,M,cc,c,c,9",,,,,,,,,,,,,,,,,,,,,,,
,,3,"4,o,M,a,m","c,M,c,o,x","8,a,m","c,M,c,o,Q",,,,,,,,,,,,,,,,,,,,,,
,,4,"c^c,o,Z","c^c,o,x","c^c,o,x","c,M,c,9","c,P2,c,o,x,8,9",,,,,,,,,,,,,,,,,,,,,
,,5,"8,a,m","c,N,c,o,cc,9","M,cc,9","N,o,Z,a,m",,,,,,,,,,,,,,,,,,,,,,
,,6,"o,8,a,x","c^c,o,Z","c^c,9,c^c,o,x","c,P2,c,a,m",,,,,,,,,,,,,,,,,,,,,,
,,7,"4,o,M,cc,o,m","c^c,c,?,Z","4,o,M,9",,,,,,,,,,,,,,,,,,,,,,,
,,8,"2,o,m","cc,a,m","cc,a,m",,,,,,,,,,,,,,,,,,,,,,,
,,9,"8,a,m","c,M,c,c,9",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4v,1,1,"P2,cc,o,o,m","N,c^c,c,o","N,cc,o,9","cc,o,P2,cc,9","8,o,x,8,2","8,x,o,8",,,,,,,,,,,,,,,,,,,,
,,2,"o,x","cc,c,9","cc,9","c,M,c,9","cc,N,cc,o,Z","c^c,i,o","cc,c,o,Z,9","cc,o,x,8,9",,,,,,,,,,,,,,,,,,
,,3,"c^c,o","c^c,o","cc,a,m","c^c,a,m","8,a,m","4,o,8,a,m","o,a,Z,a,Q",,,,,,,,,,,,,,,,,,,
,,4,"4,o,N,cc,9","4,o,c,M,c,9","cc,o,M,c,o,x","8,a,m","c,M,c,c,9","cc,o,a,m",,,,,,,,,,,,,,,,,,,,
,,5,"c^c,o,Z","c^c,c,c,9","c,M,o","o,M,a,m","c^c,c,9","4,o,M,cc,o,m","cc,o,8,a,n",,,,,,,,,,,,,,,,,,,
,,6,"9,M,cc,o,9","c^c,o,N,cc,9","c,P2,c,o,8,9",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,1,"M,o,Z,cc,9","c^c,c,c,o,Z","cc,o,Z","c^c,o,M,cc,9","c,P2,c,9,8,9",,,,,,,,,,,,,,,,,,,,,
,,2,"o,x,?,c,?","cc,o,Z","c,M,c,o,x","c^c,o","o,M,o,Z","c,M,c,o,Z,9",,,,,,,,,,,,,,,,,,,,
,,3,"4,o,o,N,o,",m+?,"cc,i,o,Q","cc,c,M,c,9","c^c,o,N,9","8,a,m",,,,,,,,,,,,,,,,,,,,
,,4,"o,M,a,m","c^c,c,o","o,N,c,a,8,9","cc,o,x","cc,o,N,c,o,8,9",,,,,,,,,,,,,,,,,,,,,
,,5,"c^c,o","N,cc,c,o,Z","c^c,o,8",9,"c^c,M,a,m","4,o,M,o,x,8,a,m",,,,,,,,,,,,,,,,,,,,
,,6,"4,o,N,?,9","c^c,o","o,N,c,o,x","2,N,c,c,9","c^c,a,Z","cc,a,Z","o,8,9",,,,,,,,,,,,,,,,,,,
,,7,"c^c,o,8,9",2,"cc,c,o,Z","cc,o,N,o,8,9","c^c,o,8,a,m","4,o,M,9",,,,,,,,,,,,,,,,,,,,
,,8,"o,c^c,o,8,9","cc,9,N,c,9","cc,M,o,8,9",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5r,1,1,"N,c^c,o,8,9","P1,cc,o,9","cc,N,o,9","o,a,m","o,a,Z,o,x,2,9","cc,o,8,9","8,N,c^c,9","8,9",,,,,,,,,,,,,,,,,,
,,2,"o,cc,c,9","o,N,c,9","4,o,N,a,m","c^c,o","c,N,c,o,9","c,M,c,c,9","cc,c,9","o,N,a,[j?[,o,Z","o,M,o,x",,,,,,,,,,,,,,,,,
,,3,"4,o,a,m","o,N,a,i","cc,9","8,a,m","o,M,c,c,c,c","cc,o","c,M,c,9","o,M,cc,9","4,o,M,cc,o,8,9",,,,,,,,,,,,,,,,,
,,4,"o,M,a,n","c^c,c,o,8,9","cc,a,i",2,"cc,c,o,Z","cc,o,c,M,c,9",,,,,,,,,,,,,,,,,,,,
,,5,"M,c^c,9","c^c,o,8,9","4,o,a,m","cc,o,x,o,x,2","c^c,o","4,o,M,cc,c,o","8,[o?],m","c^c,o,8,a,m",,,,,,,,,,,,,,,,,,
,,6,"c^c,o","cc,c,o,Z","cc,i,9","4,o,c,c,c,9","4,o,9,M,c,c,c,9","4,o,c,o,Z","c,M,c,9","c^c,o,M,c^c,9","8,9",,,,,,,,,,,,,,,,,
,,7,"4,o,M,o","c,c,9","N,c,c,9","cc,c,o","N,cc,9","c^c,o,8,9",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5v,1,1,"N,9,cc,c,o,Z","cc,o,Z","9,M,cc,c,9","P2,c^c,o,8","cc,o,x,2","cc,o,8,a,m","9,M,o,m+","8,a,m",,,,,,,,,,,,,,,,,,
,,2,"8,cc,o,x","c^c,9","cc,o,x","o,M,a,m","8,a,n","c,M,c,o,Z","cc,o,M,2","9,cc,o,P2,o,Z,8,Q",,,,,,,,,,,,,,,,,,
,,3,"4,o,M,cc,o","9,M,o,Z","8,a,m","8,a,m","o,M,cc,o,Z","8,a,m","4,o","8,a,Z","cc,o,Z","8,o",,,,,,,,,,,,,,,,
,,4,"4,o,M,o,Z","c^c,c,c,2","o,M,o,x","9,N,o,m","c^c,o,x","8,a,m","c,M,c,o,Z","o,N,cc,9,M,a,m",,,,,,,,,,,,,,,,,,
,,5,"c^c,o,N,c,c,o,x","cc,o,Z","cc,c,o,M,o,x","o,M,cc,o,x","8,a,m","8,a,x","cc,o,x","cc,o,M,a,m",,,,,,,,,,,,,,,,,,
,,6,"o,M,o,x","cc,o,x","8,a,i,Z,o,8,Q",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6r,1,1,"P1,o,a,Z",9,"c^c,o,x","cc,o,x,o,Z","c,P2,c,o,x","cc,o,Z","cc,?,N","cc,o,P2,cc,o,x","o,N,cc,a,Q",,,,,,,,,,,,,,,,,
,,2,"8,a,m","cc,c,N,c,9","cc,o,Z","cc,o,Z","N,a,Z","c,M,c,9","c,M,c,o,Z","cc,o,M,o,x,2",,,,,,,,,,,,,,,,,,
,,3,"P1,o,c,c,a,Z","N,c^c,o,Z","cc,o,N,9","o,2","cc,c,o,c,c,c,2","9,N,c,o,Z","9,M,a,m","8,a,Q",,,,,,,,,,,,,,,,,,
,,4,"8,a,Z","cc,o,2","c^c,c,o,Z","cc,o,?,M,c,9","o,M,cc,a,Q","9,a,n,Z","cc,9",,,,,,,,,,,,,,,,,,,
,,5,"M,a,Z","o,N,a,m","c^c,c,c,2","9,M,a,x,9","c,M,c,a,m","o,8,a,Q",,,,,,,,,,,,,,,,,,,,
,,6,"o,Z","a,x","c,N,c,a,Q","o,N,o,Q","c,M,c,a,m","9,8,a,m",,,,,,,,,,,,,,,,,,,,
,,7,"8,a,m","4,o,8,a,m","cc,o,",2,"cc,o,x","o,N,a,m",2,,,,,,,,,,,,,,,,,,,
,,8,"9,cc,o,x","c,N,c,o,Z","P2,cc,a,Z","c^c,c,o","c,N,c,a,m",,,,,,,,,,,,,,,,,,,,,
,,9,"8,a,Z","c^c,c,o,x","2,N,a,n,o,8,a,Z","o,M,a,m","cc,o,Z,9",,,,,,,,,,,,,,,,,,,,,
,,10,"M,cc,o,Z","c,M,c,c,o,8","cc,9","c^c,o,Z","o,8","c^c,c","o,8",,,,,,,,,,,,,,,,,,,
,,11,"9,cc,a,Z","o,x,cc,a,8","o,x","cc,o,N,a,m",,,,,,,,,,,,,,,,,,,,,,
,,12,"o,Z","c^c,o,x","c,M,c,o,Q","cc,o,Z","c,M,c,9",,,,,,,,,,,,,,,,,,,,,
,,13,"4,o,c,M,c,o,x","9,o,8,a,m","c,M,c,9",,,,,,,,,,,,,,,,,,,,,,,
,,14,"9,c^c,o","M,a,m",9,"N,a,n,Q",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6v,1,1,"N,o,a,Z,9,2,a,Z","cc,c,c,N,a,Z","4o,oa,Z","c^c,o,Z","cc,a,P2,cc,9","2,cc,c,a,Z","cc,a,Z","o,M,cc,9",,,,,,,,,,,,,,,,,,
,,2,"o,c,c,2","cc,o,Z","cc,c,N,c,9","4,o,c,N,cc,a,Z","cc,c,a,2","o,8,a,m+","N,cc,c,9","cc,o,Z","cc,a,m",,,,,,,,,,,,,,,,,
,,3,"4,o,a,i,Z","c,N,c,9","cc,o,x","o,o,cc,o,c,N,c,9","cc,c,N,cc,o,9","c,N,c,9","o,N,o,x","Z,9,cc,o,2",,,,,,,,,,,,,,,,,,
,,4,"9,c^c,c,N,c,9","9,M,cc,o,9",2,"o,2","9,8,a,8,9","8,cc,9","8,c,9","o,N,o,8,9","9,M,o,8,9",,,,,,,,,,,,,,,,,
,,5,"8,a,i,Z","c^c,a","cc,o,8,a,Q","8,a,Q","o,N,o,Z","o,M,9","8,o,x,8,o,Q",,,,,,,,,,,,,,,,,,,
,2,1,"M,cc,o,8,9","c^c,o,c,M,c,o,x","cc,o,c,M,c,c,9",2,,,,,,,,,,,,,,,,,,,,,,
,,2,"9,cc,o,2","9,cc,o,x","8,a,m","c,M,c,o,x","8,o,x",,,,,,,,,,,,,,,,,,,,,
,,3,"9,cc,o,Z","cc,o,Z","o,N,cc,c,9","4,o,N,o,i,Q",,,,,,,,,,,,,,,,,,,,,,
,,4,"o,c,c,o,8,a,x","cc,o,Z","c,M,c,o,Q",2,,,,,,,,,,,,,,,,,,,,,,
,,5,"4,o,N,cc,o,?","9,cc,c,a,Z","N,cc,8,9",,,,,,,,,,,,,,,,,,,,,,,
,,6,"x,a,Z","cc,a,Z","o,M,a,Q","c,M,c,o,Q,8,9",,,,,,,,,,,,,,,,,,,,,,
,,7,"9,o,8,a,m","c,M,c,9",2,"cc,o,Z","o,c,c,2","o,Z",,,,,,,,,,,,,,,,,,,,
,,8,"cc,o,c,N,c,9",2,"o,2","cc,9","2,a,n","a,Z",,,,,,,,,,,,,,,,,,,,
,,9,"o,cc,9","c,M,c,a,Z","c,M,c,a,Z","c,M,c,9",,,,,,,,,,,,,,,,,,,,,,
,,10,"9,cc,a,m","c,N,c,a,x","c,M,c,o,8,a,Q","8,9",,,,,,,,,,,,,,,,,,,,,,
,,11,"9,M,cc,o,c,M,c,o,x","cc,c,2","c,M,c,o,Z",,,,,,,,,,,,,,,,,,,,,,,
,,12,"o,cc,o,x,9","N,cc,o,Z","cc,9","8,o,Z",,,,,,,,,,,,,,,,,,,,,,
