folio,par,line,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26
,,5,"9,c^c,c,8,9","4,o,N,c,i,9","o,N,a,n","o,x","N,c,c,9","8,a,x,8,9","cc,c,8,9","Z,a,m","o,Z,a,n",,,,,,,,,,,,,,,,,
,,6,"o,N,cc,c,8,9","4,o,N,a,n","c^c,c,N,9","cc,c,8,9","o,x,a,m",9,"8,a,Z,a,x",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80r,1,1,"o,Z,a,x,9","o,x,cc,8,9","o,N,a,x,9","o,N,o,x,o","o,N,o,Z,9","o,P2,o,Z","o,x,N,9","o,M,a,x,c^c,c,8,9","o,N,a,Z","o,N,a,i",,,,,,,,,,,,,,,,
,2,1,"P2,8,o,x","P1,c^c,c,8,9","4,?,P2,o,x,N,a,n","o,c,M,c,o,Z","o,N,cc,8,9","4,o,N,c,c,8,9","4,o,P2,cc,c,ox","o,x,N,o,m","9,8,a,Z,c^c,c,9",,,,,,,,,,,,,,,,,
,,2,"8,9,N,c^c,9","o,x,o,M,cc,c,8,9","4,o,N,a,n","4,o,M,a,n","cc,c,N,c,9","o,N,a,x","4,o,M,a,n","o,N,c,8,9","4,o,x,Z",,,,,,,,,,,,,,,,,
,,3,"M,cc,c,8,9","4,o,M,a,i,Z","cc,c,o,x","4,o,N,a,x","4,o,N,a,x","cc,c,c,M,9","4,o,N,a,n","4,o,N,a,Z","4,o,N,a,n","cc,c,8,9","4,o,N,a,Q",,,,,,,,,,,,,,,
,,4,"2,o,x,N,a,n","c^c,x","x,N,9","cc,c,M,c,9","4,o,N,a,n","4,o,M,cc,9","4,o,M,a,x","8,9","cc,c,N,c,9","x,cc,c,9","4,o,M,a,Z","o,M,a,x",,,,,,,,,,,,,,
,,5,"4,o,N,c,8,9","4,o,N,c,c,8,9","cc,c,c,N,c,9","o,x,cc,c,8,9","4,o,N,a,n","cc,c,9","4,o,N,c,cc,c,N,c,9","o,M,a,Z","cc,c,o,x,M,a,n","2,9",,,,,,,,,,,,,,,,
,,6,"2,o,x,cc,c,8,9","4,o,N,c,c,8,9","4,o,N,a,Z","o,x","cc,c,8,9","4,o,N,a,n","c^c,c,c,M,c,9","4,o,N,c,c,8,9","2,a,x,M,a,Z","cc,N,a,n","o,M,9",,,,,,,,,,,,,,,
,,7,"2,o,x,N,9","c^c,c,c,N,c,9","c^c,c,N,9","c^c,N,c,o,x","4,o,N,a,Z","c^c,c,N,9","cc,c,M,a,n","o,x","o,x,N,a,Z","o,N,a,n","c^c,c,N,9","4,o,N,a,x","8,a,?",,,,,,,,,,,,,
,,8,"P2,a,m","c^c,c,o,x","4,o,N,a,n","cc,c,M,9","4,o,N,c,c,8,9","4,o,N,a,Z","c^c,c,M,c,9","4,o,M,a,x","c^c,c,c,M,c,9","4,o,N,a,n","o,x,N,a,Q",,,,,,,,,,,,,,,
,,9,"8,cc,c,o,x","c^c,c,8,9","4,o,N,c,i,x","4,o,M,a,m","cc,M,a,x","2,cc,c,M,c,9","4,o,N,a,x","cc,c,M,c,9","4,o,N,a,n","o,N,a,n","o,x,o,N,9",,,,,,,,,,,,,,,
,,10,"4,o,M,c,c,8,9","N,c,c,9","4,o,N,a,n","cc,c,N,c,9","4,o,M,9","8,a,x,cc,c,8","o,M,a,n","c^c,c,8,9","4,o,N,a,i,Z","c^c,c,9","8,a,x,o,Q",,,,,,,,,,,,,,,
,,11,"c^c,c,8,9","4,o,N,c,9","c^c,c,N,c,c,9","4,o,M,a,Z","cc,c,N,c,9","o,M,o,x","M,c,o,x","c^c,c,o,x","4,o,M,a,x","o,x,M,a,n","cc,c,M,c,9",,,,,,,,,,,,,,,
,,12,"4,o,N,c,c,8,9","4,o,x","c^c,c,c,M,c,9","4,o,N,a,x,N,c,o,x","4,o,N,9","4,o,N,a,x","c^c,c,8,9","2,a,x","o,x,N,a,n","c^c,c,9","4,o,N,x",,,,,,,,,,,,,,,
,,13,"9,c^c,c,9",x,"c^c,c,9","N,a,m","x,o,Z","a,m+","c^c,c,M,c,9","c,P2,cc,c,9","M,9","o,x","N,c,c,8,9","M,a,Z","o,N,9","x,a,Z",,,,,,,,,,,,
,,14,"x,o,x","cc,c,9","?,cc,9",Z,"o,x","8,a,n","o,M,9","4,o,M,9","o,M,a,x,o,Z","c^c,c,c,N,c,9","o,x,N,c,c,9","Z,a,x","cc,c,8,9,o,Z",,,,,,,,,,,,,
,,15,"8,a,Z","c^c,c,a,x","cc,c,c,N,9","o,N,a,n","2,o,x","x,c^c,c,8,9","8,o,x","cc,c,?,M,c,9","o,Z,o,x","c,c,c,2,a,x","o,x,o","M,c,a,x","o,Z,9",,,,,,,,,,,,,
,,16,"x,cc,a,x","8,a,Z","c^c,c,c,M,c,9","o,M,c,8,9","4,o,x","o,x,cc,c,c,8,9","o,P2,cc,c,c,N,9","4,o,M,cc,9","4,o,N,a,m","o,M,a,i,Z","o,x,N,9",,,,,,,,,,,,,,,
,,17,"x,o,x","c^c,a,Z","o,M,a,m","o,x,N,a,m","o,x","o,x,N,a,n","o,Z,a,m","o,x,o,Z","cc,c,M,c,9","o,x,o,Z",,,,,,,,,,,,,,,,
,3,1,"P2,cc,c,o,x,N,a,x","8,a,x","N,o,Z,cc,9","4,o,M,c,9","4,o,M,9","Z,cc,c,8,9","4,o,N,a,x","o,x,N,a,x","c^c,c,8,9","cc,M,9",,,,,,,,,,,,,,,,
,,2,"o,N,cc,c,9","4,o,N,9","cc,c,8,9","4,o,N,a,n","c^c,c,8,9","4,o,x","c^c,c,c,9","4,o,N,a,x","8,a,Z","a,Z,9",,,,,,,,,,,,,,,,
,,3,"8,c^c,c,8,9","4,o,N,a,x","cc,c,M,c,9","4,o,N,a,n","c^c,c,8,9","o,N,a,m","c^c,c,9","8,a,n","o,x",,,,,,,,,,,,,,,,,
,,4,"4,o,N,a,x","cc,c,c,M,c,9","2,o,x","cc,c,9","o,N,a,x,o,x","o,N,a,x,9","4,o,N,c,c,8,9","o,x,9",,,,,,,,,,,,,,,,,,
,,5,"2,o,x,cc,c,9","4,o,N,9",Z,"cc,c,9,N,a,n","c^c,c,c,N,c,9","4,o,N,a,n","o,N,a,n","o,x",,,,,,,,,,,,,,,,,,
,,6,"2,o,x,cc,c,9","4,o,N,c,c,9","x,N,a,Z","o,M,a,x","o,x,N,c,c,9","o,N,a,n","c^c,c,c,M,c,9","o,x",,,,,,,,,,,,,,,,,,
,4,1,"c,M,c,cc,c,9","Z,cc,c,N,9","c^c,c,P2,cc,c,8,9","4,o,N,a,Z","o,x","4,o,c,N,c,?,9","o,x,cc,c,9","4,o,N,c,8,9","N,o,Z,o,m",9,,,,,,,,,,,,,,,,
,,2,"o,x,N,c,c,9","x,c^c,c,a,x","4,o,N,c,c,9","c^c,c,8,9","4,o,x","c^c,c,8,9","4,o,N,a,n","c^c,c,9","4,o,M,9","4,o,N,a,n","4,o,N,a,8,9",,,,,,,,,,,,,,,
,,3,"4,o,N,c,c,9","Z,cc,c,9","M,a,n","o,M,c,c,9","4,o,N,a,n","c^c,c,N,a,?","c^c,c,c,N,c,9","4,o,x,c^c,c,9","4,o,N,a,n","o,x,x,a,Q",,,,,,,,,,,,,,,,
,,4,"2,o,x","o,x,N,c,c,c,9","o,M,a,Z","o,Z,cc,c,9","4,o,N,c,c,9","x,M,a,x,o,Z","o,x,o,Z","4,o,N,a,m","o,x","c^c,c,9","4,o,M,9,Z","a,x,a,Q",,,,,,,,,,,,,,
,,5,"2,o,Z","o,x,N,9","4,o,M,9","M,9","M,o,Z","cc,c,9,N,9",M,"o,M,a,x","o,P2,cc,c,8,9","4,o,N,a,n","c^c,c,N,9","4,o,N,a,n","o,x",,,,,,,,,,,,,
,,6,"4,o,N,c,c,8,9","4,o,N,a,i,x","o,M,c,c,9","o,M,a,n","c^c,c,8,9","9,N,c,c,9","Z,a,Z","o,x,c^c,c,c,2",,,,,,,,,,,,,,,,,,
,5,1,"M,o,Z,o,x,c^c,2,8,9","o,P2,cc,c,9","c^c,c,P2,cc,9","4,o,M,a,n","c^c,c,M,c,9","4,o,N,c,8,9","8,a,x,9",,,,,,,,,,,,,,,,,,,
,,2,"M,o,xN,a,n","o,M,a,x","cc,c,8,9","4,o,N,a,Z","o,x","c^c,c,8,9","cc,c,c,N,c,9","o,Z","o,x,9",,,,,,,,,,,,,,,,,
,,3,9,"cc,c,c,9,M,a,x","cc,c,c,M,c,9","4,o,N,a,n","4,o,N,a,n","cc,c,c,M,c,9","4,o,N,a,n","o,x",,,,,,,,,,,,,,,,,,
,,4,"2,o,Z","c^c,c,c,N,c,9","4,o,N,a,Z","cc,c,N,c,9","o,N,a,n","c^c,c,c,N,c,9","4,o,N,c,c,9","x,9",,,,,,,,,,,,,,,,,,
,,5,"4,o,N,a,n","c^c,c,N,c,9","4,o,N","o,x,N,a,n","cc,c,8,9","4,o,N,a,n","cc,c,c,M,C,9","x,o,Z",,,,,,,,,,,,,,,,,,
,,6,"o,N,a,n","c^c,c,8,9","4,o,N,a,?","cc,c,8,9","4,o,M,a,n","cc,c,N,9","x,M,c,c,8","x,o,x,o,Q",,,,,,,,,,,,,,,,,,
,,7,"4,o,N,a,n","cc,c,c,9","o,x,N,a,n","c^c,c,8,9","4,o,N,a,n","o,Z,o,x",2,,,,,,,,,,,,,,,,,,,
,6,1,"P2,o,x,cc,9","c,P1,a,x,o,i,Z","o,N,a,n","o,N,a,m","cc,c,c,9","N,a,n","9,x,o,Z","o,x,N,c,c,9","4,o,N,a,x",,,,,,,,,,,,,,,,,
,,2,"2,a,x","c^c,9","x,o,m","cc,c,c,9","4,o,M,x","c^c,c,M,9","c^c,c,o,N,9","4,o,N,a,n","cc,c,c,9","Z,a,Q",,,,,,,,,,,,,,,,
,,3,"M,?,?","cc,c,9","Z,a,x","N,a,Z","cc,c,9","x,N,x","o,x","c^c,c,c,2","o,N,a,m","o,x,N,9","o,N,x,o,Z",,,,,,,,,,,,,,,
,,4,"x,o,x","cc,c,9","2,a,m","c^c,c,M,9","o,N,a,m+","c^c,c,o,Z","M,cc,c,9","x,N,a,m+","o,N,a,n,9",,,,,,,,,,,,,,,,,
,,5,"M,a,x,N,x","o,x",2,"a,x","cc,c,o,x,9","8,a,m","o,M,a,x,9","o,M,a,n","cc,c,9","x,N,a,n","o,x,o,Q",,,,,,,,,,,,,,,
,,6,"2,o,x,M,x","c^c,c,9","4,o,N,x,cc,c,c,9","x,N,a,m","o,x","o,x,o,Z","a,m",9,"8,a,m","cc,c,o,x","N,a,n",,,,,,,,,,,,,,,
,,7,x,"o,x","c,c,9","x,cc,c,9","4,o,N,a,x","cc,c,o,x","x,cc,o,Z","o,M,x,o,x",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80v,1,1,"P2,cc,c,8,9","8,o,x,P1,cc,c,8,9","4,o,N,c,c,8,9","4,o,M,c,8,9","4,o,M,o,x","P1,cc,c,8,9","Z,o,x,9",,,,,,,,,,,,,,,,,,,
,,2,"M,c^c,c,8,9","4,o,M,c,8,9","o,x,N,a,n","o,M,a,x","cc,c,N,c,9","4,o,N,9","8,a,m","8,a,x,9",,,,,,,,,,,,,,,,,,
,,3,"2,cc,c,8,9","4,o,x,cc,c,8,9","4,o,N,a,m","cc,c,M,c,9","o,M,a,m","c^c,c,N,9","4,o,x",,,,,,,,,,,,,,,,,,,
,,4,"4,o,N,c,8,9","4,o,N,a,?","4,o,N,a,n","cc,c,8,9","4,o,x","4,o,x","c^c,c,c,M,9,c,9","4,o,x,9",,,,,,,,,,,,,,,,,,
,,5,"o,N,c,c,8,9","cc,c,8,9","o,x,N,c,c,8,9","o,c,M,c,9","4,o,N,a,m","c^c,c,N,c,9","4,o,M,a,n","o,x",,,,,,,,,,,,,,,,,,
,,6,"M,cc,o,o,x","N,c,8,9","P2,cc,c,o,x","N,a,n","c^c,c,8,9","4,o,N,a,m","o,M,c,9","4,o,N,c,8,9","cc,c,8,9",,,,,,,,,,,,,,,,,
,2,1,"P2,o,x,c^c,o,x","M,cc,c,9","4,o,N,o,x","c^c,c,8,9","4,o,M,c^c,c,9","2,a,x,9","N,cc,c,9","2,M,o,x,P2,cc,9",,,,,,,,,,,,,,,,,,
,,2,"o,x,M,c,c,8,9","4,o,N,a,m","c^c,c,8,9","4,o,N,a,n","c^c,c,o,x","4,o,N,cc,8,9","4,o,N,cc,8,9","4,o,M,9","8,9",,,,,,,,,,,,,,,,,
,,3,"M,cc,8,9","4,o,x","M,o,x","M,a,x","M,a,x,8,a,n","cc,c,M,c,9","4,o,N,a,x","8,o,x","cc,c,c,M,c,9","4,o,N,a,x","x,9",,,,,,,,,,,,,,,
,,4,"2,o,x","c^c,c,c,9","4,o,N,a,m","c^c,c,M,c,9","8,o,x,c^c,c,8,9","4,o,N,a,x","c^c,c,c,Mc,9","4,o,M,a,n","o,x",,,,,,,,,,,,,,,,,
,,5,"M,a,x","c^c,c,c,8,9","4,o,N,a,Z","o,x,N,9","Z,o,Z","cc,c,c,9","c^c,c,c,N,c,9","4,o,M,a,n","cc,c,8,9","Z,o,x",,,,,,,,,,,,,,,,
,,6,"9,cc,c,o,x,N,a,n","c^c,c,9","4,o,N,a,m","cc,c,8,9","4,o,N,o,x","o,x,N,a,m","c^c,c,M,c,c,9",x,,,,,,,,,,,,,,,,,,
,,7,"x,o,Z","a,Z","o,x","o,x,o,Z","cc,c,9","N,a,x,8,9",,,,,,,,,,,,,,,,,,,,
,3,1,"M,c^c,c,8,9","4,o,N,a,n","c^c,c,8,9","4,o,N,a,2","o,M,a,x","4,o,P2,c^c,c,8,9","4,o,M,9","x,cc,c,8,9","4,o,P2,a,x,o,Z",,,,,,,,,,,,,,,,,
,,2,"4,o,M,a,m","cc,M,9","x,cc,c,8,9","2,a,x,9","M,a,x","cc,c,9","4,o,M,c,c,8,9","o,M,a,x","8,a,n","o,x","8,a,x",,,,,,,,,,,,,,,
,,3,"cc,c,o,x","N,c,9","4,o,M,a,Z","8,9","4,o,M,a,x","8,9","N,c,c,8,9","4,o,N,a,n","o,M,9","x,o,x,8,9","M,a,x",,,,,,,,,,,,,,,
,,4,"2,o,x,cc,c,o,x","4,o,N,a,m","c^c,c,?,M,c,9","4,o,N,a,x","cc,c,o,x,8,9","4,o,M,x,o,x,N,a,x","cc,c,8,9,Z",,,,,,,,,,,,,,,,,,,
,,6,"9,cc,c,8,9","4,o,x","o,N,a,m","o,x,N,c,8,9","o,Z","o,N,a,n",,,,,,,,,,,,,,,,,,,,
,4,1,"P2,c^c,c,o,x,8,9","8,N,c^c,c,9","4,o,N,o,P2,9","Z,o,Z","o,P2,o,Z","o,x,P2,o,c,N,c,9","o,x,M,9,8,9",,,,,,,,,,,,,,,,,,,
,,2,"9,c^c,c,c,4,o,Z,a,Z","o,x","cc,c,c,9","8,a,m","c^c,c,9","4,o,N,a,m","o,x","o,N,a,m",,,,,,,,,,,,,,,,,,
,,3,"M,a,Z,N,a,n","o,N,a,x","9,Z,cc,c,9","4,o,N,a,x","o,x,o,Z,a,m","o,N,a,x","o,M,a,Q",,,,,,,,,,,,,,,,,,,
,,4,"8,cc,c,8,9","4,o,N,a,x","o,x","cc,c,9","8,a,x","o,Z","c^c,c,8,9","x,c^c,c,8,9",,,,,,,,,,,,,,,,,,
,5,1,"P2,o,x,M,c,c^c,o,x","o,P2,9","c^c,c,9","4,o,P2,c^c,c,8,9","4,o,M,c,c,8,9","4,o,M,o,x","c^c,9","N,o,x,c^c,8","4,o,N,9",,,,,,,,,,,,,,,,,
,,2,"9,c^c,c,8,9","4,o,N,c,c,9","4,o,N,c,9","4,o,M,9","4,o,M,o,x","o,M,a,m","o,x","cc,c,8,9","4,o,N,9","8,a,m",,,,,,,,,,,,,,,,
,,3,"x,c^c,c,8,9","4,o,M,9","o,x,o,x","cc,c,c,9","4,o,N,a,n","o,M,a,x,cc,9","M,a,x","o,Z","cc,c,c,M,c,9","2,a,Z",,,,,,,,,,,,,,,,
,,4,"4,o,M,9","cc,c,9","4,9,M,a,m","cc,c,9","x,cc,c,8,9","c^c,c,8,9","o,x,cc,c,9",,,,,,,,,,,,,,,,,,,
,6,1,"P2,c^c,o,x","N,a,n","o,x,N,a,Z","c^c,c,9","4,o,N,a,n","8,a,x","o,x,M,a,m","o,N,a,n","c^c,a,x","4,o,M,9",,,,,,,,,,,,,,,,
,,2,"o,x,cc,c,o,x","4,o,N,a,n","o,Z","a,x","cc,a,n","4,o,N,a,n","o,x","N,a,m","o,N,c,c,8,9","4,o,N,c,8,x,9",,,,,,,,,,,,,,,,
,,3,"4,o,N,a,n","o,x,N,a,n","o,x,N,a,n","o,x","N,cc,o,x",,,,,,,,,,,,,,,,,,,,,
,7,1,"P2,o,x","o,Z","o,x,N,a,n","o,c,N,c,9","4,o,N,a,m","o,N,a,n","o,N,a,Z","c^c,c,9","4,o,x,N,9",,,,,,,,,,,,,,,,,
,,2,"4,o,x","o,x,a,m","o,x,N,a,m","o,x","cc,c,8,9","4,o,N,a,n","o,x,c^c,c,9","4,o,N,a,n",,,,,,,,,,,,,,,,,,
,,3,"2,o,x,N,a,n","c^c,o,x","N,a,i,Z","o,Z","a,Z,o,x,N,c,c,8,9","o,x,N,9","4,o,x,N,a,n","c^c,c,8,9",,,,,,,,,,,,,,,,,,
,,4,"4,o,N,c,c,8,9","4,o,N,?,Z","o,x,N,a,n","o,x,c^c,c,8,9","4,o,N,c,9","4,o,N,c,c,9","M,cc,c,M,c,9","x,o,Q",,,,,,,,,,,,,,,,,,
,,5,"8,o,x","c^c,c,9,Z","c^c,c,9","o,x,c^c,c,9","c,M,c,o,Z","9,x,cc,8,9","o,x,N,a,n","c^c,c,M,c,9","4,o,x,9",,,,,,,,,,,,,,,,,
,,6,"M,a,x","o,x,N,a,n","o,x,N,a,Z",9,"4,o,x","4,o,x","N,a,n","o,N,m","o,x","N,a,n","c^c,c,9","x,8,9",,,,,,,,,,,,,,
,,7,"2,o,n","o,N,a,n","c^c,c,o,Z","o,x","c^c,c,9","8,a,x,9","o,x,c^c,c,8,9","o,x,a,x","c^c,c,8,9","x,cc,9",,,,,,,,,,,,,,,,
,,8,"P2,o,x,c^c,c,8,9","4,o,N,c,c,8,9","c^c,N,9","o,x,o,x,cc,c,9",,,,,,,,,,,,,,,,,,,,,,
,8,1,"P,o,x,N,c,8,9","x,c^c,c,c,N,c,9","o,x,N,9","o,M","o,x,N,cc,9","Z,cc,c,9","4,c,M,c,9","Z,cc,c,9","Z,a,x",,,,,,,,,,,,,,,,,
,,2,"2,o,x","a,m","cc,c,9","4,o,N,a,n","cc,c,2","o,x","cc,c,N,c,9","4,o,N,c,c,8,9","M,cc,8,9","a,Z,a,x",,,,,,,,,,,,,,,,
,,3,"4,o,N,a,n","o,x","cc,c,c,o,Z","o,x,a,Z","cc,c,9","M,cc,a,Z","o,x","cc,c,8,9","4,o,M,a,x","o,x,cc,c,8,9",,,,,,,,,,,,,,,,
,,4,"M,a,Z","a,Z,o,x,a,Z","c^c,c,N,c,9","x,N,o,x","o,M,o,x","cc,c,8,9","4,o,N,a,n","cc,c,N,c,9","4,o,N,a,x",,,,,,,,,,,,,,,,,
,,6,"P2,o,x","o,x","a,m","o,x,N,a,x,c^c,a,Z","c^c,c,8,9","4,o,N,o,x","cc,8,9","x,8,o,x","8,a,Z","a,x",,,,,,,,,,,,,,,,
,,7,"2,o,Z","a,n","c^c,N,a,n","c^c,a,Z","o,N,c^c,c,9","8,a,x,a,Z","c^c,o,N,a,x","8,9",,,,,,,,,,,,,,,,,,
,,8,"4,o,N,a,x","o,Z,o,x",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81r,1,1,"P2,o,x,cc,c,9","4,o,N,c,8,9","c^c,o,x","o,P2,cc,c,8,9","o,x,P2,cc,c,8,9","o,P1,c^c,8,9","o,x,9",,,,,,,,,,,,,,,,,,,
,,2,"8,cc,c,9","x,c^c,x","o,x,cc,c,8","4,o,N,o,x","cc,o,x","o,M,a,Z","cc,c,8,9","o,N,9",,,,,,,,,,,,,,,,,,
,,3,"4,o,M,c,9","x,cc,c,c,2","o,x,N,a,x","o,x,","cc,c,8,9","o,N,a,Z","c^c,c,8,9",,,,,,,,,,,,,,,,,,,
,,4,"8,cc,c,8,9","4,o,N,a,n","o,x","o,x","c,c,M,c,9","9,N,c,c,8,9","a,,x",,,,,,,,,,,,,,,,,,,
,,5,"4,o,x","cc,c,o,x","o,N,c,c,9","o,x","o,x","o,x,a,m","o,x","o,Z,a,n",,,,,,,,,,,,,,,,,,
,,6,"2,a,Z","o,x","c,2,c,2","o,M,c,c,9","c^c,o,Z","4,o,N,c,c,9","o,x",,,,,,,,,,,,,,,,,,,
,,7,"8,c^c,c,c,2","o,N,a,n","cc,c,M,c,9","o,M,c,9","o,N,a,n",,,,,,,,,,,,,,,,,,,,,
,,8,"P2,cc,c,8,9","4,o,N,c,c,9","o,M,9","4,o,M,c,9","o,M,c,c,9","o,x,9",,,,,,,,,,,,,,,,,,,,
,,9,"4,o,M,c,c,2,9","4,o,M,c,8,9","4,o,N,c,c,8,9","cc,c,P2,c,c,9",,,,,,,,,,,,,,,,,,,,,,
,,10,"cc,o,x","8,a,n","o,M,c,8,9","cc,c,c,9","4,o,M,a,n","x,9",,,,,,,,,,,,,,,,,,,,
,,11,"o,x,c^c,c,o,x","o,x,N,c,8,9","c^c,c,c,N,c,c,8,0","o,x,M,c,8,9",,,,,,,,,,,,,,,,,,,,,,
,,12,"9,cc,c,8,9","M,c,8,9","o,x","c^c,c,8,9","4,o,N,c,c,9","x,o,x,9",,,,,,,,,,,,,,,,,,,,
,,13,"8,cc,o,x","c^c,c,8,9","4,o,M,c,8,9","4,o,x","cc,c,8,9","cc,c,M,9","Z,9",,,,,,,,,,,,,,,,,,,
,,14,"4,o,N,c,cc,c,8,9","4,o,x,c^c,c,c,8,9","o,Z,a,n","a,Z,o,x","o,c,c,c,8,9",,,,,,,,,,,,,,,,,,,,,
,,15,"2,a,n","o,x","cc,c,c,8,9","4,o,N,c,c,8,9","o,M,c,8,9",,,,,,,,,,,,,,,,,,,,,
,2,1,"P2,o,x,cc,8,9","4,o,P2,cc,o,x","4,o,N,o,Z","o,x,P2,cc,c,8,9","o,P2,o,x","o,Z,a,2,9",,,,,,,,,,,,,,,,,,,,
,,2,"9,cc,c,c,M,c,9","o,N,c,c,8,9","c^c,c,9","4,o,N,c,8,9","o,x",o,"cc,c,8,a,Z",,,,,,,,,,,,,,,,,,,
,,3,"o,c^c,c,c,8,9","c^c,c,8,9","o,x","c^c,c,8,9","o,N,c,c,8,9","o,Z,a,Z",,,,,,,,,,,,,,,,,,,,
,,4,"4,o,N,c,8,9","c^c,c,c,8,9","cc,c,8,9","4,o,M,c,c,8,9","o,x,a,Q",,,,,,,,,,,,,,,,,,,,,
,,5,"8,c^c,c,8,9","4,o,N,a,x","o,x,N,c,c,9","o,M,c,c,9","o,x,c^c,c,9","o,M,c,9","x,o,x",,,,,,,,,,,,,,,,,,,
,,6,"4,o,M,a,x","cc,c,8,9","4,o,x","o,x","8,a,m","o,x","cc,c,8,a,Z","o,x","o,x,9",,,,,,,,,,,,,,,,,
,,7,"cc,c,9","o,N,a,n","c^c,c,c,N,c,9","2,o,m","cc,c,9","x,cc,c,9",,,,,,,,,,,,,,,,,,,,
,,8,"P2,a,Z,o,8,9","c^c,c,c,P2,c,9","cc,c,o,x","4,o,M,a,x8,a,Z","o,M,c,8,9","o,x,9",,,,,,,,,,,,,,,,,,,,
,,9,"2,a,Z","c^c,c,8,9","4,o,x","o,M,a,n","o,N,a,i,Z","o,N,a,x","cc,c,8,9","8,9",,,,,,,,,,,,,,,,,,
,,10,"P2,cc,c,8,9","4,o,N,c,9","o,M,c,a,x","4,o,x","c^c,c,a,Z","c^c,c,8,9","4,c,M,c,8,9,2",,,,,,,,,,,,,,,,,,,
,,11,"2,a,x","cc,c,8,9","4,o,N,c,8,9","o,x,N,c,8,9","8,o,x","4,o,N,cc,c,8,9",,,,,,,,,,,,,,,,,,,,
,,12,"4,o,N,c,2,8,9","cc,c,8,9","4,o,N,a,Z","cc,c,9","M,a,m","o,M,c,9","x,cc,x",,,,,,,,,,,,,,,,,,,
,,13,"9,c^c,c,c,8,9","c^c,9","cc,c,9","x,cc,c,M,c,9","9,M,a,Z","o,x,N,a,m","o,x",,,,,,,,,,,,,,,,,,,
,,14,"x,c^c,c,8,9","4,o,N,c,8,9","2,o,Z","o,x,N,a,Z","o,x,N,a,m","o,x,N,c^c,8,9",,,,,,,,,,,,,,,,,,,,
,,15,"2,o,x","c^c,c,8,9","o,x","x,cc,c,8,9","c^c,c,8,9","c^c,9","o,x,N,c,8,9","cc,c,2","a,Z","o,Z","o,Z,a,m",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81v,1,1,"P2,a,Z","c^c,c,9","N,c,c,8,9","c^c,c,N,a,x","8,a,x","8,a,Z","o,x,P2,cc,c,8,9","c^c,c,N,8,a,n","o,P1,a,x","c^c,?,N,9",,,,,,,,,,,,,,,,
,,2,"4,o,N,c,8,9","o,N,a,m","N,a,i,Z","o,N,a,x","2,a,Z","o,x,N,a,n","o,x,N,a,n","a,x","o,x","Z,o,x","8,x",,,,,,,,,,,,,,,
,,3,"2,a,m","8,a,m","o,x,N,c,c,8,9","o,N,c,8,9","8,9,N,a,n","c^c,c,N","cc,8,9","8,a,x,a,x","o,x,8,9",,,,,,,,,,,,,,,,,
,,4,"4,o,N,a,m","o,N,a,n","cc,c,c,N,9","8,9","o,x","N,a,m","8,a,n","8,9","8,a,m","cc,c,M,c,9",,,,,,,,,,,,,,,,
,,5,"o,N,a,m","8,a,m","o,M,a,n","cc,c,N,c,9","o,N,c,c,8,9","4,o,N,9","N,a,Z","8,a,m","o,N,a,Z",,,,,,,,,,,,,,,,,
,,6,"4,o,N,a,n","o,N,a,m","o,x,cc,c,8,9","cc,c,o,x","x,N,9","x,2","a,m","o,N,a,n","8,a,x,8,9",,,,,,,,,,,,,,,,,
,,7,"o,x,o,Z","o,x","c^c,c,c,N,c,a,x","8,a,m","4,o,N,c,c,8,a,x","8,a,m","cc,c,N,c,9","2,cc,c,8,9","4,o,x",,,,,,,,,,,,,,,,,
,,8,"9,N,o,x","o,Z","c^c,c,8,9","c^c,c,c,8,9","4,o,x,N,c,c,8,9","8,a,m","8,N,a,n","c,P2,c,o,8,9","o,x,8,9",,,,,,,,,,,,,,,,,
,,9,"9,a,Z","o,x","cc,c,9","N,a,m","o,N,c,c,8","8,a,m","o,x,o,Z","cc,c,c,N,c,9","8,a,n,8,9",,,,,,,,,,,,,,,,,
,2,1,"P2,o,x,c^c,9","o,c^c,9,M,c,c,8","4,o,P2","o,N,c,c,8,9","o,M,c,8,9","o,N,c^c,c,8,9","4,o,N,9","8,a,i,Z","a,Q",,,,,,,,,,,,,,,,,
,,2,"x,c^c,c,9","4,o,N,c,c,9","o,N,c,c,9","o,N,9","9,N,c,c,9","4,o,N,9","o,N,9","x,N,9","o,x,cc,9","N,9","8,c^c,o,x,9,8",,,,,,,,,,,,,,,
,,3,"4,o,x","o,x","cc,8,9","c^c,c,8,9","4,o,N,c,8,9","9,M,c,8,9","cc,c,M,c,8,9","x,N,c,8,c,9","9,M,c,8,9",,,,,,,,,,,,,,,,,
,,4,"9,N,c,c^c,c,9","8,cc,?,c,8","9,M,c,8,9","9,M,c,8,9","8,a,Z","9,N,c,8,a,?,P2,c,9","4,o,M,9","9,N,c,8,9","o,N,a,x",,,,,,,,,,,,,,,,,
