line,t1,t2,t3,n
107v.1.1,"N,a,i,2,o,Z","o,x,N,c,c,c,9","o,M,a,x,N,cc,9",1
114v.11.1,"N,a,m","c^c,c,c,9","o,a,m",1
107v.8.1,"N,a,o,x,N,a,Z","N,o,x,N,a,Z","o,N,c,o,x",1
105r.4.1,"N,c,2,o,a,Z","4,o,c,c,c,8,9","N,c,c,o,8,9",1
112v.1.1,"N,c,c,o,a,x","cc,o","o,x",1
108r.10.1,"N,c,o,x","c^c,c,o,8,9","4,o,N,c,8,9",1
106r.7.1,"N,c^c,c,8","8,c^c,c,o,x","4,o,N,c,c,8,9",1
115r.8.1,"N,c^c,c,o,a,Z,9","o,M,cc,c,9","4,o,M,c,c,o,2",1
113r.7.1,"N,c^c,o,Z,a,m","4,o,N,c,c,o,a,Z","c^c,o,M,c,o,x",1
116r.1.1,"N,cc,8,P2,9","c^c,c,9","4,o,N,a,n",1
104r.2.1,"N,cc,8,a,x","4,o,M,a,m","4,o,c^c,c,8,9",1
105v.8.1,"N,cc,8,a,x,8,9","a,x,P1,o","x,P1,cc,c,c,8,9",1
104v.9.1,"N,cc,c","c^c,o,8,a,m","4,o,N,c,c,9",1
113r.2.1,"N,cc,c,c,o,2","o,x,N,c,c,8,9","c^c,o,a,m",1
106v.5.1,"N,cc,c,o,9,N,a,Z","c^c,c,8,9","4,o,P1,cc,8,9",1
115r.3.1,"N,cc,c,o,Z","cc,c,o,x","o,Z,a,i,Z",1
111r.1.1,"N,cc,o,x,cc,8,a,Z","c^c,a,Z","a,n,P2",1
106v.14.1,"N,o","c^c,c,o","8,9",1
114r.2.1,"P1,8,c,c,cc,8,9","o,P2,cc,c,8,a,m","9,P2,cc,c,8,9",1
107r.14.1,"P1,a,i,Z,a,x","cc,N,a,x","x,N,9",1
115r.1.1,"P1,c^c,8,a,Z","4,o,P2,cc,o,x","4,o,cc,c,8,a,n",1
115r.9.1,"P1,c^c,c,8,9","c^c,8,a,x,N,9","cc,c,c,8,a,Z",1
106v.1.1,"P1,c^c,c,8,a","x,o,a,n","o,P2,a,n,Z,a,x",1
104v.10.1,"P1,cc,c,8,9","N,cc,c,8,9","cc,c,o,c,P2,c,c,9",1
114r.3.1,"P1,cc,c,9","8,a,Q","o,N,cc,c,8,a,Q",1
103v.9.1,"P1,cc,c,o,8,9","a,Z,a,Z","o,N,c,c,9",1
108r.6.1,"P1,cc,c,o,N,a,i,Z","o,N,c,8,a,m","cc,c,8,9",1
