idx,textstring
39.v.1,"P2,8,a,i,Z; cc,8,9; P1,8,9,N,a,n; o,Z; a,i,Z; c^c,c,9,N,a,m+; o,P1,cc,9; N,a,Z; o,Z; a,m; 8,o,x,N,9; o,c^c,8,9; 2,o,Z; c^c,9,N,a,Z; cc,o,x; 4,o,M,9; N,cc,8,9; o,x,N,9; 8,a,Z; cc,8,9; 9,N,a,Z; o,x,N,c,8,a,m; o,8,9; 8,9; 8,a,m; cc,o,Z; o,N,a,n; o,N,a,n; P1,cc,o,8,9; 2,a,m; o,Z; a,m; 4,o,N,a,m; 9,M,o,8,a,m; o,N,a,Q; 9,o,N,c,c,9; cc,o,8,9; cc,c,o,Z; a,m; o,N,o,8,9; cc,o,8,a,x; 9,N,c,8,9; 4,o,N,c,8,9; 8,a,x; o; 2,a,m; c^c,N,9; 9,M,c,8,9; N,o,Z; o,Z; c^c,c,N,9; N,a,n; o,M,a,Z; o,Z; a,m; o,N,a,m; c,N,c,o,x; o,x; N,o,Z; o,M,o,Z; o,P2,cc,9; x,N,c,8,9; o,N,cc,c,9; c^c,o,Z; 4,o,9,N,a,Q; cc,o; c,N,c,o,P1,cc,9; o,Z; a,x,9; c^c,o,8,9"
39.v.2,"P2,a,Z,8,9; c^c,c,8,9; 4,o,N,a,Z; c^c,c,c,8,9; o,Z,a,x,9; o,x,a,n,Z; o,N,a,Z; a,Z; o,c,N,a,Z; a,m; o,x,N,a,m; o,x,N,9; 8,a,Z; a,x,8; c^c,c,N; cc,c,N; 4,o,N,cc,9; 8,a,Z; a,n; M,a,Z; a,m; 8,a,x; a,2; a,n; cc,c,o,Z; 9,8,a,Q; c^c,o,8,9; o,N,a,x; c^c,8,9; N,c^c,9; o,Z; 8,a,Z; a,Z; 9,N,a,Z; o,Z; 9,N,9; cc,8,9; P1,cc,o,Z; 4,o,N,a,n; a,Z; c^c,c,c,8,9; o,x,cc,c,P1; 2,a,Z,o,x; cc,c,8,9; c^c,c,N,a,Q; 4,o,N,a,Z; cc,x; 9,N,c,c,8,9; cc,c,N,c,9; 8,a,x,o,Z; 8,9; P2,a,m; a,x,a,m; o,M,a,x,cc,8; o,N,a,Z; a,Q; o,N,a,Z; cc,c,o,8,a,x; o,c,N,c,9; 8,a,n; ?,N,c,c,8,9; o,M,c,8,9; o,N,c,8,9; x,cc,8,9; o,N,a,m; 8,a,m+,9; M,a,Z; a,m; o,N,a,m; cc,o,x,o,8,9"
40.r.1,"P2,cc,c,9; N,c,o,8,a,Z; a,x,8,9,8,9; 4,o,N,9; o,N,a,x; c^c,8,9; o,x,N,c,8,9; o,P2,cc,c,Z; a,Z; o,Z,8,a,m; 4,o,N,a,Z; o,N,a,Z; o,N,c,8,9; 8,a,Z; 9,N,cc,c,9; N,a,m; o,N,a,2; cc,c,8,9; o,N,a,Z; a,Z,a,x,o,2; c^c,9; 4,o,N,a,x; cc,8,9; cc,c,N,c,8; o,M,o,Z; a,n,2; o,N,9; o,N,o,x,cc,9; 4,o,N,a,Z; o,N,a,Q; o,Z; a,m; cc,c,N,o,8,9; 8,a,Z; 4,o,N,o,x; o,N,a,m; o,N,a,Z; o,N,9; o,N,o,x,8,9; o,x; x,o,N,a,Z; 4,o,N,a,Z; o,N,a,Z; o,N,o,x; o,x; cc,c,8,9; 4,o,N,cc,8,a,Z; a,Z; o,Z; 8,a,Q; M,o,Z; o,Z; a,Z; c^c,o,N,o,Z,a,Q; o,x,c^c,c,8,9; 4,o,N,a,Q; cc,8,9; N,a,Z; o,Z,a,m; 9,a,m; cc,c,N,a,m; o,N,9; 9,cc,c,c,9"
40.r.2,"N,c^c,c,o; N,cc,c,9; 8,a,Z; a,n,Q; N,cc,c,o; c,P1,c,8,9; o,Z,a,n; cc,c,P1,a,x; 8,a,m; 8,Q; M,a,m; o,x; o,x,a,m; o,Z; 8,a,n; o,N,a,m; o,N,a,m; o,N,a,m; 8,a,Z,a,Q; 2,a,m; o,x,cc,c,c,9; cc,8,9; 9,cc,c,9; N,a,Z,a,Z; o,N,9; 9,N,c,8,9; o,N,a,i,Z; o,8,9; M,o,a,Z; 9,N,a,m; o,Z,9; 8,a,x"
40.v.1,"P2,cc,c,8,a,n; cc,c,P1,a,m; o,x,8,9; M,o,8,a,Z; 4,o,N,a,m; o,x; a,Z,a,Q; 2,a,i,Z,a,n; o,N,a,m; o,N,a,Q; M,a,Z,a,m; o,N,a,m; cc,c,N,9; 2,o,x,a,m; o,N,a,Z; o,x,9; cc,c,N,c,9; 4,o,c,c,8; a,m; o,x; cc,c,8,9; 8,a,m; c^c,o,8,9; 4,o,N,o,x; cc,c,8,9; 2,a,Z; cc,o,8,a,m; cc,N,a,x,9,N,c,8,9; o,N,a,x; M,cc,N,a,m; M,cc,c,8,9; 4,o,N,a,m; o,Z,a,m; 2,cc,c,8,9; 4,o,N,o,x; cc,c,8,9; 8,a,x,o,Z; ?,c,M,c,9; 9,cc,c,c,N,c,c,9; 8,a,m; o,N,a,m"
40.v.2,"M,o,c,c,2; cc,c,8,9; N,c,8,9; o,x,P1,cc,c,8,9; 4,o,N,c,8,9; 8,a,m; cc,c,P2,a,n; 2,a,m; o; x,cc,c,9; N,cc,c,8,9; o,N,a,Z; 4,o,N,cc,8,9; 8,9; 4,o,N,c,c,2; a,Q; cc,8,9; 4,o,N,cc,c,9; 4,o,8,9; o,Z; a,m+; o,N,a,m; o; c,N,c,9; c^c,c,o,8; P1,a,?,9; c^c,o,x; N,c,8,9; x,a,Z; a,Z; o,N,a,Z; 4,o,N,9; N,c,8,9; Z; 9,M,cc,9; 4,o,N,a,Q; M,o,cc,c,9; 4,o,N,c,c,8,9; 4,o,N,a,m; o,N,c,o,Z; 4,o,N,a,Z; o,N,c,c,2; a,Z; o,?,9; 2,a,m; o,M,a,n; cc,c,N,c,9; o,N,a,x; o,N,a,n; a,Z,o,x; 4,o,N,c,9; o,N,a,Z,9; P2,cc,c,8,9; cc,c,M,a,Z; o,P1,a,i,Z; a,Z,o,8,9"
41.r.1,"P2,?,c,9; N,c,8,a,x,c,c,9; o,N,c,8; c^c,c,N,c,cc,9; o,P2,c^c,c,2,9; P2,c,c,8; 4,o,M,?,c,8,9; ?,N,?,N,c,c,8,9; 9,N,c,c,o; a,x,c^c,c,9; 9,N,c,8,9; N,c,c^c,8,9; 8,9; 8,o,Z; 9,cc,c,o,N,9; 4,o,N,c,c,8; cc,P2,9; 4,o,N,c,8,9; 8,9; 4,o,N; ?; 4,o,N,c,8,9; 9,cc,8,9,N,cc,8,9; 4,o,N,c,8,9; 4,o,M,c,8,9; c^c,c,N,cc,9; cc,c,N,9; 8,a,x,9; cc,8,cc,9; 9,M,cc,c,c,N,9; 9,P2,cc,c,8,9; 2,cc,8,9; 9,M,c,8,9; c,M,cc,9; cc,c,c,2; o,M,c,c,9; o,M,a,x; 8,a,Q; 4,o,M,cc,9; 2,a,x; 9,M,c,c,8,9; N,cc,8,9; 8,cc,c,8,9; M,c,c,8,9; 8,cc,c,8,9; 8,a,x,a,n"
41.r.2,"c^c,c,8,c,9; P2,o,x,cc,c,8,9; 4,o,N,c,c,9; cc,c,N,c,8,9; 9,M,c,9; cc,N,cc,o,8; 9,P2,cc,c,8,P2,9; c^c,?,P2,?; c^c,c,8,9; P2,a,Z,cc,8,9; N,cc,c,9; 9,M,c,c,8,9; 4,o,N,c,o,8,9; 9,N,c,8,9; cc,N,c,8,9; 4,o,N,c,8,9; cc,c,8,9; 4,o,N,c,8,?; 8,a,i,Z; cc,c,8,9; cc,c,N,c,9; 4,o,N,c,9; x,cc,8,9; 4,o,N,c,8,9; 4,o,N,a,x; cc,c,N,c,8,9; 4,?,8,a,Z,a,Q; 4,o,N,c,c,8,9; o,N,c,8,?; cc,?,N,c,8,9; cc,c,8,9; cc,c,N,c,c,o,8,9; cc,c,N,a,x; 8,a,m; cc,c,o,?; o,M,c,8,9; 2,c^c,o,N; c^c,c,8,9; 4,c,N,cc,8,9; 8,cc,8,a,x,8,9; 9,N,c,8,9; 4,o,N,c,c,8,9; 4,?,?,8,9; 4,o,N,c,Q; 9,N,c,o,8; 9,N,c,c,8,9; cc,c,N,c,c,8,9; cc,c,N,c,Q"
41.v.1,"N,c,c,2,o,8,a,x; P2,cc,c,o,8,9; 4,o,P1,cc,c,c,P2,9; o,P1,cc,8,9; c,P1,c,c,N,cc,8,9; 9,P2,cc,c,8,9; cc,c,P2,cc,c,P2,9; c^c,8,cc,8,9; 4,o,M,a,x; 8,a,Z; 8,c^c,c,8,9; M,cc,c,9; 2,a,m; c^c,c,N,c,9; o,N,c,8,9; o,N,a,x,9; 8,a,m; o,N,c,8,9; 9,N,c,c,o,8,9; cc,o,9; M,c,o,9; 8,a,Q; 4,o,N,c,o,8,9; o,N,c,9; 4,o,N,c,o,8,9; o,x,c,c,o,x; x,N,c,8,9; x,N,c,c,o,8,9; 4,o,N,c,c,8,9; o,N,c,c,9; 4,o,N,o,x; c^c,c,o,x,2; 9,cc,c,o,2; o,x,cc,c,9; 8,a,m; o,Z; cc,o,x; a,x,a,m; o,M,c,c,8,9; 4,o,M,c,o,x; o,M,c,o,8,a,Z; o,Z,a,n; M,a,8,a,m; o,x; cc,c,o,2; 9,M,c,c,8,9; o,N,a,x; a,x,8; o,M,c,o,x; 4,o,N,a,x; o,Z; o,M,c,o,8,9; 9,N,c,c,9; o,N,c,9; 9,N,cc,a,x; c,N,c,8,9; cc,8,a,x; 9,N,c,o,a,m; o,N,c,o,8,9; o,x,9; 8,a,m; o,x,N,c,c,o; x,N,o,x; cc,c,8,9; o,N,c,c,9"
42.r.1,"c^c,M,c,o; o,P1,a,m; c,N,c,a,cc,c,M,c,9; o,M,cc,c,c,9; P2,cc,c,a,Z; 2,o,x,N,a,m; cc,a,Z; cc,c,N,9; o,M,c^c,a,m; 8,a,m,9; M,o,c^c,9; cc,M,c^c,a,Z; cc,o,M,a,Z; cc,a,n; 8,a,x; c^c,o,Z; cc,c,M,a,Z; cc,o,M,a,i,Z; 8,a,Z; c,M,c,a,m; 4,o,N,a,Z; cc,o,c,N,c,9; cc,o,M,o,Z; cc,9; N,a,Z,9; 8,o,Z,a,n; cc,a,Z"
42.r.2,"P2,cc,o; cc,9; N,c^c,a,m; c^c,o,M,a,m; cc,a,Q; c^c,a,i; 9,c^c,o,x; cc,c,c,2; c,M,c,o,x; c^c,o,Z; c^c,o,x; c,M,9; cc,a,Z,9; 4,o,M,cc,a,Z; o,M,cc,o,x; c,M,c,o; N,cc,o,8,a,i; cc,N,cc,o,Z,9; cc,o,M,9; 8,o,x; N,c^c,c,o; c,M,c,o,Z; o,M,o,x; c,M,c,o,x; cc,o,x; c^c,o,x,8,a,n; 8,cc,c,c,9; cc,o,x; c^c,o,x; cc,o,N,a,m; cc,o,c,N,9; 8,c,N,9; 8,a,n; 8,a,x; 4,o,P2,o,Z; c^c,o,x; c^c,o,M; c^c,o,x; c^c,o,x; 8,a,m; 8,a,n; 2; cc,c,a,Q; c^c,o; N,c^c,c,9; cc,o,M,9; cc,8,a,n; cc,o,8,a,m; 8,a,m; 8,a,Q; P2,cc,o,8,9; o,M,c^c,c,9; 8,o,8,a,m"
42.r.3,"P2,9,8,a,m; c^c,c,a,Z; c^c,a,m; M,c^c; o,x,cc,9; c^c,o,x,9; c^c,o,M,o,x; c^c,o,x; cc,c,M,9; 8,a,m; cc,o,N,cc,9; cc,N,a,m; 4,o,8,9; c,M,c,o,cc,9; o,M,a,m; c^c,9; N,c^c,c,2; cc,o,Z,a,n; o,M,cc,o,M,9; 8,a,m; cc,o,M; c^c,o; c,N,c,9; c,M,9; 2; o,2; c^c,o,x; cc,o,x; c^c,o,N,9; o,N,o,x; c^c,o; cc,o,x; c^c,o,x; cc,a,x; c^c,o,x; cc,o,x; cc,o,x; c^c,o,x; c,M,a,m; c^o,2; o,8,a,i; N,cc,a,m; cc,o,Z; c,N,c,a,m; cc,o,Z,o,3; cc,a,m; o,N,cc,o,x; c^c,o,x; N,o,x,2,cc,c,c,2"
42.v.1,"P2,cc,o,c,M,o; c^c,c,c,9; 4,o,cc,o,M,a,m; c^c,o,x,2; cc,o,x; cc,o,Z; 8,a,n; 8,c^c,c,9; M,cc,c,9; 9; N,cc,c,9; cc,M,cc,9; c,P?,c,9; 8,a,i; 8,a,n; o,M,o,x; 8,a,m; c^c,o; cc,o,M,o,8,9; cc,o,M,o,x; o,N,9; cc,o,x; cc,o,x; 8,x; cc,c,M,c,9; o,M,o,9; 4,o,M,cc,9; cc,N,cc,9; 2,a,Z,8,9; o,8,a,n,x; 9,N,cc,9; o,N,o,x,8,Q; cc,o,N,c,c,o; Z; cc,c,9; cc,c,M,a,i; 2,a,Z,9; o,N,o,x; cc,c,M,a,m; o,N,c,o,N,c,a,Z; cc,c,o,M,cc,a,Z; 2,9; 2,a,m; c,M,c,a,Z; 8,a,Q; cc,o,N; c^c,c,o,N,c,9; N,c,c,c,9,8; cc,c,N,c,c,2,c^c,9; 2,o,8,a,x; 2,a,m"
42.v.2,"P2,o,c^c,c,o,Z; c^c,o; cc,a,Z; cc,c,N,cc,c,9; 4,o,N,o,8; c^c,o; c,P2,c,c,o; Z,cc,9; 2,cc,o,Z; o,N,cc,c,9; cc,9; c^c,o,x; o,x,o,Z; cc,c,a,m; c,M,cc,9; M,cc,c,c,c; 8; 4,o; a,m; 4,o,N,c,c,9; N,cc,o,x; cc,c,a,x; o,M,c,o,x,8; c^c,c,9; M,c,a,m; 8; cc,o,M,cc,c,c,9; cc,o,x; o,x; cc,a,m; o,M,c,c,a,m; cc,N,cc,9; M,a,m; 9; c^c,o; cc,c,9; M,c,o,Z; c^c,c,9; cc,c,c,M,cc,9; 8,a,m; cc,o,N,c,c,9; 8,a,m; 4,o,M,c,c,9; cc,9; N,cc,9; c,M,c,9; c,M,c^c,c,2; cc,o,x,9; 2,a,Z,a,Z; a,?,a,x; cc,o,N,c,9; cc,o,x; o,N,c,9; o,N,o,Z; o,8,c,c,9"
43.r.1,"M,a,2,o,8,a,m; 9,M,c,8,9; cc,o,8,9; o,P1,cc,M,a,Z; cc,c,P2,c,c,8,9; c^c,o,x; P1,o,x,o,Z; a,m; c,P2,cc,9; 8,a,Z; 9,M,c,o,8,9; o,M,c,o,x; 9,M,c,8,9; a,Z; cc,c,M,9; 8,a,Z; a,n,Z; o,N,a,x,8,9; 8,a,Z,a,x; o,M,cc,8,9; 8,a,m; 8,a,x,Z; 9,M,9; 9,M,9; o,M,9; c^c,c; o,8,9; c^c,9; o,x,o,Z; 9,M,cc,8,9; N,a,m; cc,N,9; 9,o,M,8,9; 8,a,Z; a,m; 9,N,a,Q; 8,a,Z,a,Z; 9,M,c,9; M,c,8,9; N,a,Z; a,Z; a,Z; c^c,c; N,a,x,cc,8,9; cc,o,x,N,9; 4,o,M,a,x,9; cc,c,8,9; o,M,9; o,M,a,Q; 9,N,a,Z; cc,?,8,9; c^c,c,N,o,8,9; 4,o,M,o,8,9; 4,o,M,a,Z; o,N,c,8,9; 8,a,Z; cc,o,c,M,cc,9; 8,a,Q; o,M,a,n; 9,M,a,Q; N,cc,c,8,9; cc,c,8,9; 8,a,x,9; cc,c,o,8,9; cc,c,o,x,N,cc,P2,cc,9"
43.r.2,"P2,c^c,c,2,9; o,M,c,9,N,c^c,8,9; o,P2,cc,8,9; N,c,8,a,Z; o,N,c,8,9; cc,8,9; c^c,o,c,P2,c,c,9; 8,9,M,9,8,9; P2,cc,8,9; N,c,8,9; 8,a,Q; 9,M,cc,c,8,9; cc,c,8,9; cc,c,o,8,9; c^c,9; 4,o,m+; c^c,c,c,c,N,9; cc,c,8,9; 8,a,n; c^c,9; 9,N,o,x,a,Z; a,M,a,m; o,x,8; 8,c^c,c,8,9; 4,o,M,c,8,9; 8,o,Z; cc,c,c,9; o,8,a,n"
43.r.3,"P2,c^c,8,a,Z; c^c,c,8; o,8,9; 4,o,M,c,8,9; 9,P1,cc,8,9; 4,o,c,N,cc,8,9; o,P2,cc,8,9; 8,a,m; 4,o,N,c,8,9; 8,9,8,9,8,9; 4,o,M,a,Z; 9,M,cc,c,8,9; M,9; c^c,o,x; M,o,x,8,9; c^c,o,8,9; o,M,cc,8,9; c^c,8,9; o,M,o,x,o,x; c^c,8; o,x,N,9; 9,M,o,x; o,M,a,Z,9; cc,c,N,9,8,9; 8,o,Z; c^c,o,x; 4,o,N,o,x; c^c,c,8,9; 4,o,M,c,8,9; 4,o,N,c,c,8,9; 4,o,N,o,8,9; o,N,cc,8,9; o,M,c,?,9; c^c,c,8,9; o,M,9; 9,M,9; 8,9; 2,a,m; M,c^c,c,8; 4,o,c^c,c,c,N,c,c,9; o,8,c,c,8,9; 4,c,o,N,c,c,9; 4,o,M,c,8,9; 8,a,m; c^c,o,8,?,8,9; c^c,o,cc,o,x; cc,c,N,c,9; 9,N,c,8,9; 8,9; 9,N,c,o,8,9; cc,c,c,N,c,9; cc,o,M,c,c,9; o,8,a,n; cc,c,N,cc,9; cc,o,N,o,Z,a,m"
43.v.1,"P2,8,2,a,i,Z,9; 8,a,x,M,c,o,c^c,9; 8,a,x,9; c^c,c,c,M; o,Z; a,Z,o,8,x; x,N,c,o; Z,a,Z,a,m; o,M,c,8,9; o,P2,o,x,8,9; c^c,c,8,9; o,c,M,c,9; o,M,c,8,9; cc,c,8,9; 8,a,Z; cc,c,2,N,c,9; o,N,c,o,8,9; o,N,9; o,N,a,x,8,9; N,cc,8,9; o,N,a,Z; M,o,8,9; M,cc,?,9; 4,o,M; cc,o,c,M,c,9; cc,N,9; o,N,9; cc,8,9; o,N,c,8,9; 9,N,a,m; cc,c,9; o,8,9; 8,a,Z,9; 8,c^c,c,9; 9,N,c,c,8,9; cc,c,c,2; a,m; c^c,9; 4,o,c,M,c,c,8,9; cc,c,9; 4,o,N,a,Z; cc,c,c,N,c,9; o,N,a,Q; 4,o,N,cc,c,8,9; o,Z,a,x,o,8,9; o,M,c,8,o,x; cc,c,M,c,8,9; cc,M,c,9"
43.v.2,"M,o,x,N,cc,8,9; o,N,c,8,9; 4,o,N,c,8,a,x; c^c,c,8,9; o,N,c,8,a,x; c^c,c,8,9; P2,cc,8,o,x; o,M,c,9; 8,a,x,o,Z,a,n; 9,M,c^c,c,8,9; 9,N,c,o,8,9; o,9,N,c,c,8,9; cc,c,8,9; M,c,8,9; cc,c,M,c,9; o,M,a,Q; o,M; 9,M,a,m; o,M,a,2; c^c,c,M; cc,c,o,8,cc,2; o,cc,c,8,9; o,M,c,o,8,9; cc,c,8,9; cc,o,8,9; 8,a,m; c^c,c,o,8,9; 9,N,a,Z; cc,c,P2; 9,M,cc,8,9; o,x,o,2; a,m; o,c,N,c,9"
43.v.3,"M,a,Z,cc,o,Z; a,Z; a,x,8,a,Z; cc,8,9; 8,a,x,8,a,Z; cc,c,P2,9; 9,M,c,c,8,9; 2; 9,P2,cc,c,9; P2,cc,c,8,9; 9,P1,o,Z; 9,c^c,c,c,9; o,Z,a,i,Z; 9,M,c,c,9; cc,c,o,8,9; a,Z,c^c,c,o; 4,o,8,9; cc,c,N,c,9; cc,8,9; cc,o,M,9; c^c,c,c,M,c,9; 9,c^c,c,c; N,c,8,9; 8,a,Z; cc,c,9; 4,o,M,c,8,9; c,N,a,m; cc,c,8,9; c,M,c,c,9; o,M,c,o,x; a,Z; a,m; o,8,a,n; 8,c^c,c,8,9; M,c,8,9; c,N,c,c,8,9; cc,c,N,cc,c,c,9; 8,9,N,c,o,8,9; o,M,c,8,9; cc,c,c,M,a,Q; o,N,c,8,a,Z; a,Q,a,Q; 8,9,N,c,c,8,a,n; cc,c,8,9; o,N,c,c,8,9; cc,c,8,a,x; o,x,N,c,9; cc,c,N,9; cc,o,a,x; cc,c,8,9; o,M,c,o,Z,o,Q; o,M,c,o,8; 4,o,x,N,c,c,9; N,a,x,8,9; cc,9; 8,a,Z,o,8,9; 4,o,N,c,c,9; N,o,x; 8,a,Z,9; M,a,Z,o,2; o,x; c,c,c,2; a,m; o,x,o,a,m; o,M,c,o,2; 4,o,N,9; cc,c,9"
44.r.1,"M,c^c,o,8,P2,9; o,Z,a,c,P2,c,9; N,o,c,c,2; 9,P2,c^c,o,x,9; c^c,9; o,M,o,x,o,a,m; 9,8,c^c; 8,9,c,c,c,2; 9,M,9; o,N,9; o,N,cc,c,9; 4,9,N,cc,c,9; 8,cc,9; 8,9; o,a,i,Z; c,N,o,N,c,c,9; N,c^c,o,M,o,x; o,M,a,x; 8,a,m; o,M,o,M,a,9,N,a,x; 9,cc,o,Z; 9,N,cc,c,9; 9,N,cc,9; cc,o,8,9; 8,a,Q"
44.r.2,"M,o,9; c^c,9,c^c,o; 4,o,M,c,c,9; cc,o,Z; cc,c,c,M,9; c^c,c,c,9; 9,M,c,9; 8,a,m; 8,cc,o,Z; 9,M,cc,o,x; c^c,9; o; ?,cc,c,c,N,cc,9; 4,o,M,cc,9; o,M,cc,9; 8,a,Z; 4,o,M,c,2; o,4,8; c^c,o,x; 4,o,M,c^c,9; 9; 9,M,9; cc,o,Q"
44.r.3,"P2,c^c,9; o,P2,cc,c,9; 4,o,P2,cc,9; o,P2,cc,c,9; Z,o,?,9; c^c,o,x,o,2; 9,N,cc,o; o,M,cc,o,x; o,x; 8,cc,c,N,c,9; 4,o,N,9; 4,o,M,cc,9; 4,o,N,cc,9; 4,o,N,9,8; 4,o,N,cc,o,Z; o,N,cc,9; 4,o,M,o; 9,N,o,x; cc,o,N,9; cc,o,N,9; cc,o,x; 8,a,Q; 9,M,c^c,o; 4,o,c,N,c,9; o,N,cc,o,8,9"
44.v.1,"M,c^c,o; 4,o,M,c^c,9; c,M,c,o,x; 8; cc,o,Z; o,M,o,x; c^c,o,x; M,o,x; 4,o,M,c^c,o,x; o,M,o,x,8,9; 9,o,x,M,o,x; cc,o,x; 4,o,N,cc,a,n; 8,a,x,9; o,M,cc,o,x; 8,a,m; c^c,o,x; 4,o,M,o,Z,a,Z; M,o,x; o,N,cc,o,Z; c^c,c,M,c,9; o,M,o,x; 8,a,m; c,M,c,9; c,M,c,9"
44.v.2,"9,o,N,a,x,o,8; c^c,a,m; c^c,o,Z; c^c,o,Z,o,8,9; c^c,N,9; c^c,o,9,M,cc,9; o,P2,cc,o,8; o,P2,9; o,a,n; c^c,o,x; c,M,c,9; c,P2,c,a,m; 9,N,cc,o,Z; o,M,cc,9; 4,o,M,9; 9,M,cc,c,o,Z; c,M,c,a,n; M,o,x; 8,a,i,Z; 8,M,a,m; 8,o,x; 9; N,cc,a,n; o,M,9,N,c,c,9; o,M,cc,o,x; 9,M,a,m; 8,9; o,N,o; M,cc,a,m; c,M,c,o,x; 8,9; cc,c,o,x; o,x,o,x,9"
44.v.3,"M,c^c,c,o,8,9; c,M,c,a,m; o,8,a,m; c^c,o,x; c^c,c,9; c,M,9; 9,M,o,8,a; o,x; 8,c^c,o,Z; c,M,c,c,c,2; x,o,x,N,c,c,c,2; c,N,c,9; cc,c,M,c,9; x,o; x,c^c,o; 4,o,N,cc,9; M,c^c,9; c,P2,c,a,m; c,M,c,a,x; N,a,x; o,N,a,x; cc,o,x; cc,o,x; cc,o,N,9; o,N,a,m; c,M,c,9; o,M,a,x; 9,cc,c,9; M,c,o,x; cc,a,m; cc,c,M,c,9; c,M,c,9; c,M,c,o; c,M,c,o,x; x,cc,o,Z; c^c,a,Z; 8,a,i,Z,x"
45.r.1,"P2,9,N,9,8,a,x; c^c,a,c,N,c,9; o,M,9; c^c,c,9; 4,o,P2; c^c,a,Z; o,P2,cc,a,x; 9,P2,cc,a,Z; o,P1,cc,a,Z; c^c,o,Z; c,M,c,9; 4,o,N,9; 4,o,N,o,x; 4,o,N,a,m; cc,o,x; cc,o,x; 9,N,a,m; 8,a,Z; o,Q; 4,o; cc,c,M,c,9; N,cc,o,x; 8,a,m; 4,o,a,m; c,M,c,9; cc,a,m; 9,N,c,c,9; c,M,c,o,Q; x,o,Z,9; N,a,m; 9,N,c,o,x; 9,N,c,o,x; cc,a,Q"
45.r.2,"N,o,x; c^c,o; P2,cc,o,Z; N,cc,c,9; M,9; o,P2,cc,a,x,8,9; o,M,c^c,9; 4,o,N,cc,9; 8,o,x; 8,a,m; o,M,cc,a,Z; o,N,cc,a,Z; 8,a,m; 9,M,cc,o,8,9; M,cc,o,x,o,x; o,M,a,Z; 8,a,x; 8,a,Z,9; x,cc,a,Z; 4,o,Z; 8; N,a,Z; 8,a,Z"
45.r.3,"M,cc,o,x; c,M,c,9; 4,o,8,a,m; c,M,c,9; 8,a,n; c,M,cc,9; o,M,9,8,a,x; 8,a,m; 8; ?,o,Z; o,Z; cc,a,n; 8,a,n; 9,N,o,x,o,8,9; 9,M,a,m; 4,o,M,cc,o,x; N,o,x; 8,9; x; o,N,a,m; o,N,cc,o; x,a,x,8,a,i; 8,a,x,8,a,m"
45.v.1,"N,o,Z,a,Z,9; cc,N,o; N,o,x; cc,c,9; P1,c^c,o,x,o,Q; c^c,o,Z; 9,N,cc,9; 8,o,8; o,P2,cc,a,m; o,x,a,x,8; o,N,a,x; cc,o,Z; 8,a,m; c,M,c,9; o,N,cc,o,x; cc,o,Q; o,N,o,x,o,Z; 8,9; o,N,cc,o,x; 2; 4,o,N,cc,9; x; o,Z; cc,c,a,x; 4,o,M,a,x; 4,o,M,o,x; cc,9; N,9; c,M,c,o; 8; 9,N,a,Z,9,8; o,N,cc,9; 4,o,c,N,c,9; 8,a,n; 8,a,i,x; 8,a,i,Z; c^c,9"
45.v.2,"4,o,M,o,x; cc,o,m; o,N,cc,a,Z; 8,a,Z; o,M,9,?; c^c,o,M,o; 8,o,x,P2,9; o,M,9,M,a,Q; ?,2,a,m; c,P2,c,o,Z; 4,o,N,c,9; M,o,8; 9,M,cc,8,9; 8,9; 8,9; cc,c,Q; M,cc,M,cc,o; N,cc,o,x; 8,c^c,9; o,M,9,o,x; 9,M,cc,o,Q"
45.v.3,"9,N,c^c,c,o,Z; o,8,a,x; c^c,o; 8,9; P2,cc,o,Q; o,M,o,Z; o,a,n,Z; 9,cc,o,Z; c,M,c,9; cc,o,x; 4,o,N,o,Q; 2,9; 2,a; 9,N,cc,o,Q; 8,c^c,o,Z; o,M,c^c,9; o,N,9; M,c^c,o,x,o,x; 9,M,cc,o,Z,8; o,Z; cc,o,Z; 8,M,cc,9; 8,o,m; 8,cc,o,x,8,9"
46.r.1,"P2,cc,c,o,c,P2,c,9; 4,o,M,c,8,9; cc,c,M,9; 8,9; cc,?,P2,cc,Y; 9,P1,cc,c,N,9; o,Z,a,m; c^c,c,c; 4,o,M,c,o,x; 8,a,m; c^c,c,c; 8,9; 8,a,x,9; 2,o,8,a,m; c^c,c,c,o,x,9; 4,o,o,Z; c^c,c,o; M,c,?,x,9; cc,c,N,c,9; 8,a,m; c^c,c,N; c^c,c,c,M; c^c,c,8,9; Y,o,Z,a,m; c^c,c,c,N,c,9; 8,a,m; c^c,o,Z; 9,N,a,x; cc,c,N,c,9; 8,a,m; c^c,c; 8,a,x; c^c,c,8,9; 4,o,N,a,x; 2,a,m; c^c,c,c; 9,N,a,Z; 8,a,m; M,c^c,c,8,a,Z; cc,o,x; N,a,x,8,9; cc,c,N,c,9; 4,o,N,a,x,8,9; cc,c,N,a,x; cc,c,N,c,9; c^c,c,N,9; c^c,c,N,9; 8,a,x,o,c,M,o,c,9; o,N,c,c,8,9; c^c,c,N,c,c,9; 9,N,c,9; c^c,c,8,9; cc,8,9; c^c,N,9; 4,o,M,c^c,c,o,8; 9,M,c,8,9; 9,M,c,9; cc,c,a,Z"
