token,cluster,freq,token_len
"4,cc,8,a,Z",6,1,5
"4,cc,a,Z",7,1,4
"4,cc,o,8,a,x",8,1,6
"4,cc,o,Z",7,1,4
"4,o",0,33,2
"4,o,2",8,5,3
"4,o,2,a,m",2,2,5
"4,o,2,a,n",0,1,5
"4,o,2,cc,c,o,8,9",0,1,8
"4,o,4,o,N,c,c,9",4,1,8
"4,o,8",3,6,3
"4,o,8,9",8,18,4
"4,o,8,9,N,c,9",0,1,7
"4,o,8,a,?,Q",0,1,6
"4,o,8,a,Q",5,2,5
"4,o,8,a,Z",2,11,5
"4,o,8,a,Z,9",3,2,6
"4,o,8,a,i,2",1,1,6
"4,o,8,a,i,Q",7,1,6
"4,o,8,a,i,Z",8,2,6
"4,o,8,a,m",8,37,5
"4,o,8,a,m+",0,2,5
"4,o,8,a,n",0,10,5
"4,o,8,a,n,N,c,9",7,1,8
"4,o,8,a,x",7,7,5
"4,o,8,c,M,c,9",3,1,7
"4,o,8,c,N,c,9",9,1,7
"4,o,8,c,c,8,9",0,2,7
"4,o,8,c,c,9",4,2,6
"4,o,8,cc,9",3,2,5
"4,o,8,cc,c,8",1,1,6
"4,o,8,o,2",6,1,5
"4,o,8,o,Q",5,1,5
"4,o,8,o,x",2,1,5
"4,o,9",6,7,3
"4,o,9,M,c,c,c,9",3,1,8
"4,o,9,N,9",1,1,5
"4,o,9,N,a,Q",7,1,6
"4,o,9,N,c,c,9",4,1,7
"4,o,9,N,o,m",3,1,6
"4,o,9,P2,cc,o,x",5,1,7
"4,o,9,cc,o,8,a,i,Z",2,1,9
"4,o,9?,8",6,1,4
"4,o,?",6,3,3
"4,o,?,Z",2,1,4
"4,o,?,cc,c,9",2,1,6
"4,o,M",5,8,3
"4,o,M,8,8,9,a,Z",1,1,8
"4,o,M,8,a,n",8,1,6
"4,o,M,8,c,M,9",0,1,7
"4,o,M,9",3,84,4
"4,o,M,9,8",3,1,5
"4,o,M,9,N,o,8,9",5,1,8
"4,o,M,9,Z",4,1,5
"4,o,M,9,x,P2,a,m",0,1,8
"4,o,M,?,?",4,1,5
"4,o,M,?,c,8,9",1,1,7
"4,o,M,?,c,9",5,1,6
"4,o,M,?,o,8,a,m",6,1,8
"4,o,M,a,2",4,4,5
"4,o,M,a,8,9",6,2,6
"4,o,M,a,Q",0,11,5
"4,o,M,a,Z",7,59,5
"4,o,M,a,Z,8,a,Q",7,1,8
"4,o,M,a,Z,9",4,1,6
"4,o,M,a,Z,a,8,cc,c,9",9,1,10
"4,o,M,a,Z,a,n",1,2,7
"4,o,M,a,c?",8,1,5
"4,o,M,a,i",4,2,5
"4,o,M,a,i,Z",8,6,6
"4,o,M,a,i,x",1,1,6
"4,o,M,a,i,x,9",5,1,7
"4,o,M,a,m",0,72,5
"4,o,M,a,m+",4,2,5
"4,o,M,a,n",4,61,5
"4,o,M,a,x",4,63,5
"4,o,M,a,x,8,9",4,1,7
"4,o,M,a,x,8,a,Z",4,1,8
"4,o,M,a,x,9",7,5,6
"4,o,M,a,x,a,x",4,1,7
"4,o,M,a,x,c^c,9",4,1,7
"4,o,M,a,x,o,8,9",8,1,8
"4,o,M,a,x,o,Q",7,1,7
"4,o,M,c,2",1,3,5
"4,o,M,c,2,9",8,1,6
"4,o,M,c,8",1,4,5
"4,o,M,c,8,9",1,90,6
"4,o,M,c,8,a,Z",1,2,7
"4,o,M,c,8,a,Z,9",8,1,8
"4,o,M,c,8,a,i,2",9,1,8
"4,o,M,c,8,a,m",0,2,7
"4,o,M,c,8,a,x",8,3,7
"4,o,M,c,8,c^c,c,8,9",4,1,9
"4,o,M,c,8,o,Z",0,2,7
"4,o,M,c,8,o,x",1,1,7
"4,o,M,c,8,x",9,1,6
"4,o,M,c,9",4,25,5
"4,o,M,c,a",3,1,5
"4,o,M,c,a,Z",1,1,6
"4,o,M,c,a,x",4,2,6
"4,o,M,c,c,2",0,4,6
"4,o,M,c,c,2,9",4,2,7
"4,o,M,c,c,8",0,3,6
"4,o,M,c,c,8,8,9",1,1,8
"4,o,M,c,c,8,9",0,72,7
"4,o,M,c,c,8,a,Z",1,2,8
"4,o,M,c,c,8,o",0,1,7
"4,o,M,c,c,8,o,Z",1,1,8
"4,o,M,c,c,9",0,40,6
"4,o,M,c,c,Q",5,1,6
"4,o,M,c,c,c,2",5,2,7
"4,o,M,c,c,c,8,9",4,3,8
"4,o,M,c,c,c,9",5,3,7
"4,o,M,c,c,c,o",2,1,7
"4,o,M,c,c,o",0,4,6
"4,o,M,c,c,o,2",8,3,7
"4,o,M,c,c,o,8",0,1,7
"4,o,M,c,c,o,8,9",0,2,8
"4,o,M,c,c,o,M,cc,9",9,1,9
"4,o,M,c,c,o,x",6,4,7
"4,o,M,c,cc,9",0,2,6
"4,o,M,c,cc,c,o,2",2,1,8
"4,o,M,c,cc,o,c,P2",2,1,8
"4,o,M,c,o",6,4,5
"4,o,M,c,o,2",6,1,6
"4,o,M,c,o,2,a,Q",2,1,8
"4,o,M,c,o,8,9",9,11,7
"4,o,M,c,o,8,c",0,1,7
"4,o,M,c,o,M,o,Z",5,1,8
"4,o,M,c,o,Z",4,4,6
"4,o,M,c,o,a,Z",8,1,7
"4,o,M,c,o,x",2,11,6
"4,o,M,c,o,x,8",2,1,7
"4,o,M,c,o,x,9",1,1,7
"4,o,M,c,o,x,cc,8,9",4,1,9
"4,o,M,c^c,8,9",6,3,6
"4,o,M,c^c,9",3,5,5
"4,o,M,c^c,c,8,9",4,3,7
"4,o,M,c^c,c,9",3,5,6
"4,o,M,c^c,c,o,8",7,2,7
"4,o,M,c^c,o,x",3,1,6
"4,o,M,cc,2",3,1,5
"4,o,M,cc,2,8,9",4,1,7
"4,o,M,cc,8",1,3,5
"4,o,M,cc,8,9",7,20,6
"4,o,M,cc,8,a,Z",9,1,7
"4,o,M,cc,8,a,n",9,1,7
"4,o,M,cc,8,a,x",7,1,7
"4,o,M,cc,9",3,61,5
"4,o,M,cc,9,M,9,8,9",5,1,9
"4,o,M,cc,9,M,o,Z",3,1,8
"4,o,M,cc,9,N,o,m",5,1,8
"4,o,M,cc,N,c,c,9",4,1,8
"4,o,M,cc,a,Q",5,1,6
"4,o,M,cc,a,Z",3,5,6
"4,o,M,cc,a,m",3,2,6
"4,o,M,cc,a,n",5,1,6
"4,o,M,cc,c,2",6,1,6
"4,o,M,cc,c,8",0,6,6
"4,o,M,cc,c,8,9",0,21,7
"4,o,M,cc,c,8,a,Z",0,1,8
"4,o,M,cc,c,9",3,17,6
"4,o,M,cc,c,a,m",5,2,7
"4,o,M,cc,c,c,8,9",0,3,8
"4,o,M,cc,c,c,9",5,1,7
"4,o,M,cc,c,c,a,m",5,1,8
